Time(ms),Frequency(kHz)
0,3100023
28,3085100
38,3083485
48,3064794
58,3069466
68,3069005
78,3070080
88,3078529
98,3085430
108,3084238
118,3085207
128,3067947
138,3077912
148,3076439
158,3077184
168,3077332
178,3065916
188,3077556
198,3079962
208,3082695
218,3083912
228,3086334
238,3084028
248,3085238
258,3072267
268,3071859
278,3073050
288,3081807
298,3069762
308,3063184
318,3051697
328,3062936
338,3050746
348,3068989
358,3064037
368,3077449
378,3079240
388,3087897
398,3065496
408,3081735
418,3072461
428,3066181
438,3064201
448,3075874
458,3046640
468,3076493
478,3072445
488,3075030
498,3057032
508,2916497
518,2931435
528,2965819
538,3030295
548,3081904
558,3075340
568,3082502
579,3081366
589,3073501
599,3063347
609,3081833
619,3072414
629,3084563
639,3082052
649,3087616
659,3080939
669,3073640
679,3082205
689,3072637
699,3053981
709,3070092
719,3066030
729,2935398
739,3029971
749,3081542
759,3078878
769,3087812
779,3081462
789,3087768
799,3081542
809,3087723
819,3066557
829,3081741
839,3072497
849,3088255
859,3071786
869,3081856
879,3047169
889,3072919
899,3053561
909,3072068
919,3055970
929,3071092
939,3046921
949,3075280
959,3072413
969,3085460
979,3063750
989,3081675
999,3078425
1009,3087612
1019,3081622
1029,3081378
1039,3066037
1049,3081432
1059,3081858
1069,3069291
1079,3072150
1089,3084869
1099,3082259
1109,3088337
1119,3070194
1129,3082008
1139,3067886
1149,3069327
1159,3075956
1169,3078671
1179,3067640
1189,3075578
1199,3065348
1209,3075552
1219,3072256
1229,3087466
1239,3069545
1249,3081289
1259,3066222
1269,3081521
1279,3075490
1289,3087964
1299,3069444
1309,3081759
1319,3075832
1329,3068857
1339,3068583
1349,3081706
1359,3045727
1369,3075470
1379,3072008
1389,3084954
1399,3066456
1409,3075866
1419,3068680
1429,3081592
1439,3082258
1449,3075081
1459,3071660
1469,3078507
1479,3065583
1489,3069470
1499,3072578
1509,3082045
1519,3082080
1529,3088335
1539,3068058
1549,3074882
1559,3030190
1569,3009918
1579,2936027
1589,3021805
1599,3042674
1609,2890771
1619,3049738
1629,3081070
1639,3072532
1649,3087819
1659,3081423
1669,3087644
1679,3078742
1689,3072837
1699,3072767
1709,3075662
1719,3067735
1729,3082075
1739,3068950
1749,3078874
1759,3059016
1769,3079143
1779,3065460
1789,3075347
1799,3075846
1809,3081761
1819,3075546
1829,3072702
1839,3069374
1849,3074946
1859,3080381
1869,3078413
1879,3072546
1889,3069405
1899,3072386
1909,3084687
1919,3081664
1929,3072263
1939,3065348
1949,3084689
1959,3082206
1969,3078367
1979,3061979
1989,3078540
1999,3075609
2009,3072079
2019,3072840
2029,3075759
2039,3072552
2049,3088033
2059,3081426
2069,3081670
2079,3067029
2089,3075593
2099,3072432
2109,3081662
2119,3066611
2129,3081984
2139,3076064
2149,3087836
2159,3082167
2169,3081064
2179,3061787
2189,3076498
2199,3078961
2209,3087978
2219,3081715
2229,3087883
2239,3082055
2249,3087810
2259,3054843
2269,3072547
2279,3078806
2289,3087499
2299,3081860
2309,3088036
2319,3081817
2329,3087882
2339,3082196
2349,3087836
2359,3072595
2369,3081507
2379,3060383
2389,3072589
2399,3065413
2409,3081893
2419,3052170
2429,3085260
2439,3063048
2449,3062441
2459,3072677
2469,3081657
2479,3081318
2489,3087498
2499,3063477
2509,3081577
2519,3078645
2529,3071845
2539,3072958
2549,3087986
2559,3081967
2569,3068067
2579,3046902
2589,3072718
2599,2984348
2609,2920648
2619,2999309
2629,3063382
2639,3059727
2649,3060279
2659,2908701
2669,3028495
2679,3081868
2689,3087824
2699,3076853
2709,3074323
2719,3060087
2729,3088225
2739,3069580
2749,3075649
2759,3069249
2769,3081489
2779,3068795
2789,3075521
2799,3069579
2809,3073093
2819,3075867
2829,3080961
2839,3073171
2849,3065142
2859,3066669
2869,3072177
2879,3061189
2890,3075897
2900,3068444
2910,3081749
2920,3072457
2930,3081576
2940,3076074
2950,3087935
2960,3065394
2970,3082221
2980,3074847
2990,3083929
3000,3067088
3010,3081246
3020,3078978
3030,3088076
3040,3081655
3050,3088034
3060,3069631
3070,3081792
3080,3066459
3090,3081230
3100,3072490
3110,3088148
3120,3081906
3130,3087803
3140,3082174
3150,3087578
3160,3072256
3170,3066304
3180,3075254
3190,3084263
3200,3082381
3210,3075760
3220,3065355
3230,3081843
3240,3081998
3250,3085131
3260,3073227
3270,3088110
3280,3081471
3290,3087877
3300,3069561
3310,3081754
3320,3073026
3330,3087749
3340,3075746
3350,3087660
3360,3082343
3370,3088259
3380,3081595
3390,3087950
3400,3077840
3410,3088223
3420,3081981
3430,3078757
3440,3072499
3450,3084778
3460,3081778
3470,3087365
3480,3081824
3490,3082179
3500,3072322
3510,3084993
3520,3081922
3530,3087964
3540,3082040
3550,3088092
3560,3081850
3570,3083730
3580,3071871
3590,3081774
3600,3065938
3610,3078807
3620,3066221
3630,3072480
3640,3066678
3650,3009607
3660,2963170
3670,2953087
3680,2967984
3690,3059584
3700,3054417
3710,2891128
3720,3067844
3730,3075590
3740,3066469
3750,3081206
3760,3075351
3770,3088239
3780,3082688
3790,3081195
3800,3062567
3810,3075115
3820,3072670
3830,3081458
3840,3066448
3850,3071803
3860,3072000
3870,3081798
3880,3072384
3890,3075275
3900,3072594
3910,3082062
3920,3071956
3930,3069533
3940,3072375
3950,3075832
3960,3071876
3970,3081967
3980,3082300
3990,3088046
4000,3082027
4010,3075043
4020,3047760
4030,3081865
4040,3071948
4050,3075942
4060,3066622
4070,3058179
4080,3066322
4090,3081855
4100,3078500
4110,3087758
4120,3072024
4130,3082270
4140,3072471
4150,3078754
4160,3059842
4170,3069999
4180,3072323
4190,3081870
4200,3072382
4210,3077980
4220,3059911
4230,3081065
4240,3072359
4250,3088119
4260,3081650
4270,3085158
4280,3085238
4290,3084979
4300,3084485
4310,3064902
4320,3077212
4330,3076203
4340,3083774
4350,3067338
4360,3077758
4370,3080785
4380,3072663
4390,3075958
4400,3084627
4410,3060105
4420,3071050
4430,3051716
4440,3075916
4450,3075333
4460,3081777
4470,3083284
4480,3086696
4490,3073229
4500,3074763
4510,3072279
4520,3079470
4530,3073234
4540,3080967
4550,3067283
4560,3081195
4570,3067944
4580,3068479
4590,3048394
4600,3074931
4610,3056848
4620,3070814
4630,3069123
4640,3081674
4650,3072034
4660,3081355
4670,3072606
4680,3067934
4690,3072292
4700,3081764
4710,3075928
4720,3023461
4730,2949089
4740,3063370
4750,2911952
4760,3072596
4770,3071768
4780,3085045
4790,3072284
4800,3075684
4810,3063284
4820,3075135
4830,3075199
4841,3088094
