Time(ms),Frequency(kHz)
0,3090940
28,3085004
38,3080321
48,3080426
58,3067042
68,3056466
78,3067071
88,3075117
98,3070350
108,3076874
118,3075603
128,3078254
138,3083153
148,3072442
158,3059368
168,3070057
178,3057153
188,3066333
198,3058909
208,3064548
218,3070400
228,3079532
238,3073206
248,3074843
258,3067371
268,3075283
278,3072985
288,3077975
298,3081183
308,3087614
318,3074359
328,3070247
338,3075046
348,3088056
358,3081947
368,3087837
378,3060275
388,3075498
398,3075773
408,3078486
418,3072632
428,3075380
438,3065730
448,3081519
458,3072606
468,3088023
478,3056804
488,3035174
499,3059871
509,3075302
519,3066551
529,2985470
539,2961133
549,3070456
559,3072065
569,3081833
579,3068871
589,3075963
599,3071973
609,3088081
619,3080085
629,3077305
639,3071629
649,3075735
659,3072534
669,3074845
679,3065734
689,3082223
699,3081705
709,3068980
719,3072220
729,3084945
739,3071913
749,3080966
759,3072249
769,3078005
779,3064059
789,3081937
799,3071288
809,3081789
819,3072256
829,3081857
839,3068720
849,3081717
859,3081579
869,3087739
879,3081938
889,3087621
899,3066537
909,3069464
919,3062927
929,3064789
939,3066425
949,3069068
959,3065533
969,3078782
979,3072678
989,3075620
999,3072093
1009,3081541
1019,3071164
1029,3075764
1039,3073059
1049,3081264
1059,3078115
1069,3072785
1079,3072329
1089,3075461
1099,3072416
1109,3081167
1119,3067644
1129,3079307
1139,3070012
1149,3077804
1159,3071830
1169,3081461
1179,3066658
1189,3081654
1199,3068154
1209,3081062
1219,3069784
1229,3081422
1239,3072425
1249,3075228
1259,3072564
1269,3081743
1279,3081396
1289,3087572
1299,3071433
1309,3081267
1319,3069333
1329,3087771
1339,3081966
1349,3088040
1359,3072538
1369,3078430
1379,3071809
1389,3085254
1399,3081768
1409,3088185
1419,3078109
1429,3075593
1439,3065480
1449,3075860
1459,3072824
1469,3084611
1479,3081953
1489,3081429
1499,3071452
1509,2989581
1519,2913658
1529,2908626
1539,2962492
1549,3062580
1559,3024736
1569,2926572
1579,3072577
1589,3080948
1599,3081325
1609,3087590
1619,3068810
1629,3076441
1639,3071912
1649,3082005
1659,3072291
1669,3072213
1679,3063191
1689,3072597
1699,3066034
1709,3079043
1719,3068634
1729,3084742
1739,3069138
1749,3078936
1759,3065709
1769,3072988
1779,3057389
1789,3060337
1799,3053591
1809,3071920
1819,3081546
1829,3074529
1839,3060149
1849,3081898
1859,3076362
1869,3078795
1879,3072598
1889,3084667
1899,3082538
1909,3088157
1919,3081754
1929,3087995
1939,3082117
1949,3088322
1959,3065136
1969,3077860
1979,3075050
1989,3084424
1999,3078725
2009,3081053
2019,3079131
2029,3084203
2039,3081791
2049,3088093
2059,3082460
2069,3087545
2079,3081439
2089,3088082
2099,3081861
2109,3088365
2119,3072069
2129,3081065
2139,3072529
2149,3081130
2159,3072158
2169,3078313
2179,3073291
2189,3081698
2199,3081631
2209,3088037
2219,3058472
2229,3075494
2239,3042646
2249,3070914
2259,3078566
2269,3087848
2279,3076032
2289,3081228
2299,3056442
2309,3069319
2319,3062894
2329,3081216
2339,3052905
2349,3085003
2359,3075197
2369,3084567
2379,3059040
2389,3077847
2399,3075456
2409,3088164
2419,3082136
2429,3087996
2439,3081789
2449,3087638
2459,3081993
2469,3047229
2479,3063000
2489,3072111
2499,3051755
2509,3072129
2519,3065496
2529,3088333
2539,3062904
2549,3037230
2559,2993791
2569,3015729
2579,2929958
2589,2948174
2599,3032080
2609,3031924
2619,2909757
2629,3081533
2639,3075905
2649,3084295
2659,3070297
2669,3077029
2679,3081520
2689,3088172
2699,3068632
2709,3064013
2719,3069302
2729,3054650
2739,3073003
2749,3088429
2759,3082168
2769,3074702
2780,3068233
2790,3085027
2800,3075475
2810,3081912
2820,3075011
2830,3073221
2840,3055990
2850,3081482
2860,3072925
2870,3085069
2880,3065477
2890,3081553
2900,3078193
2910,3084811
2920,3060123
2930,3081358
2940,3067099
2950,3081178
2960,3068900
2970,3082121
2980,3072360
2990,3084380
3000,3064176
3010,3081356
3020,3069335
3030,3081260
3040,3072554
3050,3075344
3060,3073113
3070,3075443
3080,3060205
3090,3075991
3100,3072848
3110,3080717
3120,3055647
3130,3082164
3140,3072165
3150,3075520
3160,3062898
3170,3078555
3180,3069737
3190,3080800
3200,3075455
3210,3084113
3220,3082066
3230,3088063
3240,3081602
3250,3081679
3260,3071828
3270,3082105
3280,3081473
3290,3085093
3300,3072140
3310,3087560
3320,3076939
3330,3081647
3340,3066702
3350,3081799
3360,3068413
3370,3087725
3380,3072241
3390,3082031
3400,3059428
3410,3078799
3420,3075753
3430,3084640
3440,3075913
3450,3084718
3460,3071641
3470,3088318
3480,3081496
3490,3087882
3500,3076460
3510,3081804
3520,3072360
3530,3081568
3540,3081163
3550,3087945
3560,3081226
3570,3088027
3580,3072350
3590,3075551
3600,3062223
3610,2979573
3620,2945933
3630,2957592
3640,3063227
3650,3069786
3660,3066117
3670,2900097
3680,2991560
3690,3081699
3700,3078614
3710,3072666
3720,3069580
3730,3082139
3740,3058175
3750,3081043
3760,3078609
3770,3071371
3780,3066357
3790,3071979
3800,3066584
3810,3077981
3820,3079203
3830,3088169
3840,3077975
3850,3088312
3860,3081872
3870,3088047
3880,3059835
3890,3078829
3900,3066384
3910,3065226
3920,3066326
3930,3072668
3940,3058930
3950,3082144
3960,3065558
3970,3076011
3980,3067461
3990,3082034
4000,3066509
4010,3069634
4020,3066525
4030,3081858
4040,3072773
4050,3078225
4060,3072616
4070,3084602
4080,3081528
4090,3087847
4100,3081871
4110,3087946
4120,3081798
4130,3087749
4140,3081702
4150,3085024
4160,3084369
4170,3085045
4180,3084809
4190,3080131
4200,3076557
4210,3077688
4220,3085842
4230,3084094
4240,3085326
4250,3084269
4260,3085991
4270,3073023
4280,3078058
4290,3078051
4300,3073149
4310,3075554
4320,3067107
4330,3056490
4340,3078532
4350,3079112
4360,3087421
4370,3082546
4380,3068741
4390,3066652
4400,3084856
4410,3071272
4420,3080667
4430,3055771
4440,3080187
4450,3067985
4460,3069130
4470,3068515
4480,3065862
4490,3058847
4500,3081708
4510,3075073
4520,3078824
4530,3056767
4540,3048070
4550,3059731
4560,3075263
4570,3065750
4580,3074714
4590,3072295
4600,3084746
4610,3082165
4620,3072351
4630,3062863
4640,3069285
4650,3015859
4660,3042939
4670,2925685
4681,2959776
4691,3034529
4701,3081362
4711,3066293
4721,3082224
4731,3081973
4741,3084288
4751,3075756
4761,3085101
4771,3068977
4781,3084761
4791,3075584
4801,3084823
4811,3078121
