Time(ms),Frequency(kHz)
0,1200009
28,1200008
78,1200009
88,1200007
98,1200008
128,1200007
138,1200008
168,1200007
178,1200009
188,1200008
198,1200007
208,1200008
228,1200007
238,1200009
248,1200007
258,1200008
268,1200007
278,1200009
288,1200008
428,1200007
438,1200008
448,1200007
458,1200008
468,1200007
478,1200008
619,1200009
629,1200008
649,1200007
659,1200009
669,1200007
679,1200008
709,1200007
719,1200008
729,1200007
739,1200008
749,1200007
759,1200008
769,1200007
779,1200009
789,1200007
799,1200009
809,1200007
819,1200008
829,1200007
839,1200009
849,1200008
899,1200009
909,1200008
969,1200007
979,1200008
1019,1200007
1029,1200008
1049,1200007
1059,1200008
1109,1200009
1119,1200008
1129,1200007
1139,1200008
1229,1200007
1239,1200008
1249,1200007
1259,1200009
1269,1200008
1299,1200007
1309,1200008
1369,1200007
1379,1200008
1389,1200009
1399,1200008
1419,1200007
1429,1200009
1439,1200007
1449,1200008
1459,1200007
1469,1200008
1509,1200006
1519,1200010
1529,1200008
1569,1200007
1579,1200008
1589,1200007
1599,1200008
1649,1200007
1659,1200008
1689,1200007
1699,1200008
1749,1200007
1759,1200008
1769,1200009
1779,1200008
1789,1200007
1799,1200008
1859,1200007
1869,1200008
1909,1200007
1919,1200008
1929,1200009
1939,1200007
1959,1200009
1969,1200008
1999,1200007
2009,1200009
2019,1200008
2029,1200007
2039,1200008
2049,1200007
2059,1200008
2069,1200009
2079,1200008
2089,1200007
2099,1200009
2109,1200007
2119,1200008
2139,1200009
2149,1200007
2159,1200008
2179,1200007
2189,1200009
2199,1200008
2249,1200007
2259,1200009
2269,1200007
2279,1200008
2339,1200007
2349,1200008
2389,1200007
2399,1200008
2409,1200007
2419,1200008
2509,1200007
2519,1200008
2569,1200007
2579,1200008
2640,1200007
2650,1200009
2660,1200008
2690,1200007
2700,1200008
2740,1200007
2750,1200008
2770,1200009
2780,1200007
2790,1200008
2850,1200007
2860,1200009
2870,1200007
2880,1200008
2970,1200007
2990,1200008
3010,1200007
3020,1200008
3060,1200007
3080,1200008
3090,1200009
3100,1200008
3130,1200007
3140,1200008
3170,1200007
3180,1200008
3230,1200007
3240,1200008
3250,1200007
3260,1200008
3280,1200007
3290,1200008
3300,1200007
3310,1200009
3320,1200007
3330,1200008
3410,1200007
3420,1200008
3440,1200007
3450,1200008
3530,1200007
3540,1200008
3550,1200007
3560,1200008
3610,1200007
3620,1200009
3630,1200007
3640,1200008
3660,1200007
3670,1200008
3680,1200007
3690,1200008
3700,1200009
3710,1200008
3730,1200007
3740,1200008
3770,1200007
3780,1200008
3820,1200007
3830,1200008
3840,1200007
3850,1200008
3870,1200009
3880,1200007
3890,1200008
3900,1200007
3910,1200008
3950,1200007
3960,1200008
3980,1200007
3990,1200008
4120,1200007
4130,1200009
4140,1200008
4211,1200007
4231,1200009
4241,1200007
4251,1200008
4321,1200007
4331,1200009
4341,1200007
4351,1200008
4401,1200007
4411,1200008
4461,1200007
4471,1200009
4481,1200007
4491,1200008
4561,1200007
4571,1200008
4591,1200007
4601,1200008
4681,1200007
4691,1200008
4721,1200007
4731,1200009
4741,1200007
4751,1200008
4841,1200007
4851,1200008
4881,1200007
4891,1200009
4901,1200007
4911,1200009
4921,1200007
4931,1200009
4941,1200007
4951,1200009
4961,1200007
4971,1200008
5041,1200007
5051,1200008
5081,1200007
5091,1200008
5181,1200007
5191,1200008
5201,1200007
5211,1200008
5221,1200007
5231,1200008
5261,1200007
5271,1200008
5291,1200009
5301,1200008
5311,1200007
5321,1200008
5381,1200007
5391,1200008
5411,1200007
5421,1200008
5491,1200009
5501,1200007
5511,1200008
5531,1200007
5541,1200008
5561,1200007
5571,1200008
5651,1200007
5661,1200008
5691,1200007
5701,1200009
5711,1200007
5721,1200008
5801,1200007
5811,1200008
5821,1200009
5831,1200008
5841,1200007
5851,1200008
5861,1200007
5871,1200008
5901,1200007
5911,1200008
5931,1200007
5951,1200008
6031,1200007
6041,1200008
6061,1200007
6071,1200008
6081,1200007
6091,1200008
6191,1200007
6201,1200009
6211,1200008
6222,1200007
6232,1200008
6252,1200007
6262,1200008
6302,1200007
6312,1200008
6342,1200007
6352,1200008
6362,1200007
6372,1200008
6392,1200009
6402,1200007
6412,1200008
6442,1200007
6452,1200008
6472,1200009
6482,1200007
6492,1200008
6512,1200007
6522,1200008
6542,1200007
6552,1200009
6562,1200007
6572,1200008
6682,1200007
6692,1200009
6702,1200007
6712,1200008
6732,1200007
6742,1200008
6802,1200007
6812,1200009
6822,1200008
6832,1200007
6842,1200009
6852,1200008
6882,1200007
6892,1200008
6952,1200007
6962,1200008
7012,1200007
7022,1200008
7042,1200007
7052,1200008
7082,1200007
7092,1200009
7102,1200007
7112,1200008
7142,1200007
7152,1200008
7182,1200007
7192,1200008
7282,1200007
7292,1200009
7302,1200008
7312,1200007
7322,1200008
7362,1200007
7372,1200008
7432,1200007
7442,1200009
7452,1200008
7502,1200007
7512,1200008
7552,1200007
7562,1200008
7592,1200007
7602,1200009
7612,1200008
7652,1200007
7662,1200009
7672,1200008
7732,1200007
7742,1200008
7772,1200007
7782,1200008
7812,1200007
7822,1200008
7852,1200007
7862,1200009
7872,1200008
7993,1200007
8003,1200008
8073,1200007
8083,1200008
8133,1200007
8143,1200009
8153,1200008
8233,1200007
8243,1200008
8273,1200007
8283,1200008
8293,1200007
8303,1200008
8323,1200009
8333,1200007
8343,1200008
8373,1200007
8383,1200008
8423,1200007
8433,1200008
8473,1200007
8483,1200009
8493,1200008
8533,1200007
8543,1200009
8553,1200007
8563,1200008
8613,1200007
8623,1200008
8633,1200007
8643,1200008
8663,1200007
8673,1200008
8683,1200009
8693,1200008
8703,1200007
8713,1200008
8723,1200009
8733,1200008
8743,1200007
8763,1200008
8823,1200007
8833,1200008
8863,1200007
8873,1200008
8893,1200007
8903,1200008
8963,1200007
8973,1200009
8983,1200008
9013,1200007
9023,1200008
9043,1200009
9053,1200007
9063,1200008
9123,1200007
9133,1200008
9143,1200007
9153,1200008
9213,1200007
9223,1200008
9233,1200007
9243,1200008
9283,1200007
9293,1200008
9303,1200009
9313,1200008
9363,1200007
9373,1200008
9403,1200007
9413,1200008
9443,1200009
9453,1200007
9463,1200008
9733,1200007
9743,1200008
9753,1200007
9763,1200008
9833,1200007
9843,1200008
9863,1200007
9873,1200008
9893,1200007
9903,1200008
9913,1200009
9923,1200007
9934,1200009
9944,1200007
9954,1200008
9974,1200007
9984,1200008
10004,1200007
10014,1200008
10034,1200007
10044,1200009
10054,1200007
10064,1200009
10074,1200007
10084,1200009
10094,1200007
10104,1200008
10114,1200007
10124,1200008
10174,1200007
10184,1200008
10194,1200007
10204,1200008
10214,1200009
10224,1200007
10234,1200008
10264,1200007
10274,1200008
10284,1200007
10294,1200008
10304,1200007
10314,1200008
10344,1200007
10354,1200008
10384,1200007
10394,1200009
10404,1200007
10414,1200008
10424,1200009
10434,1200008
10514,1200007
10524,1200008
10544,1200007
10554,1200008
10584,1200009
10594,1200007
10604,1200008
10634,1200007
10644,1200008
10654,1200009
10664,1200008
10684,1200009
10694,1200008
10704,1200007
10714,1200008
10754,1200007
10764,1200008
10844,1200007
10864,1200008
10934,1200007
10944,1200008
10964,1200007
10974,1200008
10984,1200007
10994,1200009
11004,1200006
11014,1200010
11024,1200008
11054,1200007
11064,1200008
11124,1200009
11134,1200007
11144,1200008
11204,1200007
11214,1200009
11224,1200008
11254,1200007
11264,1200009
11274,1200008
11324,1200007
11334,1200009
11344,1200008
11404,1200007
11414,1200008
11424,1200007
11434,1200008
11464,1200007
11474,1200009
11484,1200008
11504,1200007
11514,1200008
11524,1200007
11534,1200009
11544,1200007
11554,1200008
11564,1200007
11574,1200008
11584,1200007
11594,1200009
11604,1200007
11614,1200008
11624,1200007
11634,1200009
11644,1200008
11765,1200007
11775,1200008
11805,1200007
11815,1200009
11825,1200007
11835,1200009
11845,1200008
11885,1200007
11895,1200009
11905,1200008
11975,1200007
11985,1200008
12045,1200007
12055,1200008
12085,1200007
12095,1200008
12105,1200007
12115,1200008
12175,1200007
12185,1200008
12215,1200007
12225,1200008
12255,1200009
12265,1200007
12275,1200008
12305,1200007
12315,1200008
12355,1200009
12365,1200007
12375,1200008
12405,1200007
12415,1200008
12425,1200007
12435,1200009
12445,1200008
12495,1200007
12505,1200008
12535,1200007
12545,1200008
12555,1200007
12565,1200008
12655,1200007
12665,1200008
12685,1200007
12695,1200009
12705,1200007
12715,1200008
12735,1200007
12745,1200008
12765,1200007
12775,1200008
12805,1200007
12815,1200008
12845,1200007
12855,1200008
12885,1200007
12905,1200009
12915,1200008
12925,1200007
12935,1200009
12945,1200008
12975,1200007
12985,1200008
13015,1200009
13025,1200008
13055,1200007
13065,1200008
13095,1200007
13105,1200008
13125,1200007
13135,1200009
13145,1200007
13155,1200008
13185,1200007
13195,1200008
13205,1200007
