Time(ms),Frequency(kHz)
0,1200009
28,1200007
38,1200009
48,1200006
58,1200010
68,1200006
78,1200010
88,1200006
98,1200009
108,1200005
118,1200010
128,1200007
138,1200009
148,1200007
158,1200009
168,1200007
178,1200009
188,1200006
198,1200009
208,1200006
218,1200009
228,1200007
238,1200009
248,1200007
258,1200009
268,1200007
278,1200009
288,1200007
298,1200009
308,1200006
318,1200010
328,1200006
338,1200009
348,1200005
358,1200010
368,1200007
378,1200009
388,1200005
398,1200011
408,1200006
418,1200009
428,1200007
438,1200008
448,1200007
458,1200009
468,1200007
478,1200008
488,1200006
498,1200010
508,1200006
518,1200010
528,1200006
538,1200010
548,1200007
558,1200009
568,1200006
578,1200009
588,1200006
598,1200010
608,1200005
618,1200011
628,1200006
638,1200009
648,1200005
658,1200010
668,1200007
678,1200009
688,1200007
698,1200009
708,1200006
718,1200010
728,1200005
738,1200010
749,1200005
759,1200010
769,1200007
779,1200009
789,1200007
799,1200008
809,1200007
819,1200009
829,1200006
839,1200010
849,1200006
859,1200009
869,1200008
879,1200009
889,1200007
899,1200008
909,1200007
919,1200010
929,1200006
939,1200010
949,1200006
959,1200010
969,1200006
979,1200009
989,1200008
999,1200009
1009,1200006
1019,1200009
1029,1200006
1039,1200010
1049,1200006
1059,1200009
1069,1200007
1079,1200006
1089,1200009
1109,1200007
1129,1200008
1139,1200009
1149,1200007
1159,1200010
1169,1200007
1179,1200008
1199,1200009
1209,1200006
1219,1200010
1229,1200007
1239,1200009
1249,1200007
1259,1200009
1269,1200007
1279,1200008
1299,1200009
1309,1200006
1319,1200009
1329,1200008
1349,1200007
1359,1200009
1369,1200007
1379,1200010
1389,1200006
1399,1200008
1439,1200007
1459,1200010
1469,1200006
1479,1200009
1489,1200008
1509,1200006
1519,1200009
1529,1200007
1539,1200009
1549,1200008
1579,1200007
1599,1200009
1609,1200007
1619,1200009
1629,1200008
1649,1200007
1659,1200008
1689,1200007
1709,1200009
1719,1200008
1759,1200007
1769,1200008
1779,1200009
1789,1200007
1799,1200009
1809,1200007
1819,1200008
1849,1200009
1859,1200008
1869,1200007
1889,1200009
1899,1200008
1929,1200007
1939,1200009
1949,1200008
2009,1200006
2019,1200009
2029,1200008
2039,1200007
2049,1200009
2059,1200006
2069,1200009
2079,1200008
2109,1200006
2119,1200008
2129,1200009
2139,1200008
2159,1200007
2169,1200009
2179,1200007
2189,1200009
2199,1200008
2229,1200007
2239,1200009
2249,1200007
2269,1200009
2279,1200007
2289,1200008
2299,1200009
2309,1200008
2339,1200007
2349,1200009
2359,1200006
2369,1200008
2379,1200009
2389,1200008
2399,1200007
2409,1200009
2419,1200008
2449,1200007
2459,1200008
2469,1200009
2479,1200007
2489,1200009
2499,1200007
2509,1200008
2519,1200007
2529,1200008
2539,1200009
2549,1200008
2569,1200007
2579,1200009
2589,1200007
2599,1200009
2609,1200007
2619,1200009
2629,1200007
2639,1200008
2659,1200007
2669,1200009
2679,1200008
2699,1200007
2719,1200008
2740,1200009
2750,1200008
2770,1200007
2780,1200009
2790,1200007
2800,1200009
2810,1200008
2820,1200007
2840,1200008
2850,1200009
2860,1200006
2870,1200009
2880,1200007
2890,1200009
2900,1200008
2910,1200007
2920,1200009
2930,1200007
2940,1200009
2950,1200006
2960,1200009
2970,1200008
2980,1200007
2990,1200009
3000,1200008
3010,1200006
3020,1200010
3030,1200006
3040,1200008
3060,1200009
3070,1200008
3080,1200007
3090,1200008
3110,1200009
3120,1200007
3130,1200009
3140,1200006
3150,1200009
3160,1200007
3170,1200009
3180,1200008
3200,1200007
3210,1200008
3220,1200009
3230,1200008
3240,1200007
3250,1200008
3270,1200009
3280,1200006
3290,1200008
3300,1200009
3310,1200006
3320,1200008
3330,1200009
3340,1200007
3350,1200009
3360,1200008
3380,1200007
3390,1200008
3420,1200009
3430,1200008
3440,1200006
3450,1200009
3460,1200007
3470,1200009
3480,1200008
3510,1200006
3520,1200009
3530,1200007
3550,1200008
3570,1200009
3580,1200008
3600,1200007
3610,1200009
3620,1200007
3630,1200009
3640,1200008
3660,1200007
3670,1200009
3680,1200008
3690,1200007
3700,1200009
3710,1200007
3730,1200008
3750,1200009
3760,1200007
3770,1200010
3780,1200006
3790,1200010
3800,1200007
3810,1200009
3820,1200006
3830,1200010
3840,1200006
3850,1200010
