Time(ms),Frequency(kHz)
0,3091353
28,3074534
38,3082728
48,3083258
58,3085385
68,3075243
78,3077557
88,3051824
98,3073366
108,3077204
118,3075725
128,3086001
138,3076760
148,3077958
158,3062142
168,2993879
178,2887091
188,3071590
198,3035420
208,2991979
218,3075325
228,3073163
238,3074885
248,3085407
258,3079491
268,3061807
278,3071543
288,3066645
298,3074596
308,3068575
318,3065931
328,3079571
338,3057803
348,3086818
358,3082652
368,3087338
378,3082088
388,3084722
398,3073037
408,3084706
418,3078274
428,3088240
438,3081948
448,3088439
458,3072553
468,3077653
478,3071275
488,3081436
498,3072623
508,3085245
518,3069016
528,3081749
538,3059839
548,3081949
558,3078931
568,3087785
578,3072277
588,3081973
598,3072372
608,3087486
618,3082214
628,3087887
638,3082472
648,3078264
658,3072550
668,3065765
678,3034241
688,3069411
698,3066293
708,3084531
718,3056591
728,3082173
738,3052139
749,3088154
759,3081595
769,3087584
779,3081698
789,3087887
799,3078205
809,3085282
819,3078997
829,3081428
839,3058932
849,3044442
859,3069703
869,3084974
879,3063111
889,3078574
899,3053269
909,3069315
919,3065848
929,3072873
939,3066477
949,3075671
959,3043987
969,3085040
979,3082035
989,3082010
999,3066456
1009,3081510
1019,3076015
1029,3087999
1039,3082288
1049,3087946
1059,3082171
1069,3078898
1079,3072614
1089,3084939
1099,3056996
1109,3081894
1119,3081609
1129,3088105
1139,3082492
1149,3087932
1159,3072601
1169,3084346
1179,3058738
1189,3072456
1199,3066125
1209,3069060
1219,2995991
1229,3001151
1239,2912382
1249,3065979
1259,3022756
1269,3005810
1279,3050252
1289,3075849
1299,3066638
1309,3069710
1319,3072816
1329,3059673
1339,3082092
1349,3075824
1359,3066735
1369,3075630
1379,3071526
1389,3075530
1399,3066922
1409,3081592
1419,3082433
1429,3088245
1439,3065889
1449,3081560
1459,3082140
1469,3088429
1479,3082634
1489,3087994
1499,3081971
1509,3075775
1519,3052746
1529,3075699
1539,3057211
1549,3082022
1559,3038008
1569,3063472
1579,3063245
1589,3075800
1599,3063377
1609,3075477
1619,3043864
1629,3081998
1639,3069293
1649,3078899
1659,3069905
1669,3075800
1679,3045287
1689,3081818
1699,3082021
1709,3088217
1719,3071935
1729,3075703
1739,3072457
1749,3081582
1759,3068092
1769,3088280
1779,3082071
1789,3088028
1799,3055797
1809,3087867
1819,3077989
1829,3054185
1839,3060401
1849,3079396
1859,3051555
1869,3085240
1879,3078662
1889,3084534
1899,3077372
1909,3088231
1919,3066348
1929,3076047
1939,3071831
1949,3056877
1959,3075790
1969,3088184
1979,3072443
1989,3081751
1999,3075802
2009,3063237
2019,3066363
2029,3088276
2039,3072282
2049,3081543
2059,3075978
2069,3088302
2079,3030035
2089,3081795
2099,3069748
2109,3075913
2119,3072851
2129,3072153
2139,3072516
2149,3081714
2159,3069522
2169,3081603
2179,3049622
2189,3081346
2199,3060364
2209,3077210
2219,3079080
2229,3088246
2239,3066280
2249,2889448
2259,2732223
2269,2814052
2279,2803148
2289,2928348
2299,3028091
2309,2913827
2319,3049345
2329,3019753
2339,2884971
2349,2888239
2359,2966603
2369,3073694
2379,3066203
2389,3084818
2399,3082490
2409,3088026
2419,3081741
2429,3088225
2439,3082346
2449,3080755
2459,3078662
2469,3088224
2479,3082372
2489,3075539
2499,3072672
2509,3088159
2519,3061845
2529,3069392
2539,3060311
2549,3081308
2559,3075332
2569,3088045
2579,3081806
2589,3088331
2599,3082500
2609,3088183
2619,3082206
2629,3087972
2639,3082223
2649,3088261
2659,3080861
2669,3073250
2679,3072817
2689,3081045
2699,3082529
2709,3088410
2719,3051542
2729,2887484
2739,2884493
2749,2954560
2759,3062973
2769,3078142
2779,3072865
2789,3081951
2799,3072445
2809,3081967
2819,3063453
2829,3082004
2839,3067045
2849,3075722
2859,3072569
2869,3081629
2879,3057444
2889,3085222
2899,3082228
2909,3069262
2919,3072874
2929,3084339
2939,3075468
2949,3071772
2959,3063303
2969,3082132
2979,3064648
2989,3077752
2999,3063641
3009,3082081
3019,3073048
3029,3087984
3039,3081575
3049,3088240
3059,3082524
3069,3088330
3079,3082228
3089,3080241
3100,3066333
3110,3081960
3120,3067549
3130,3076126
3140,3072782
3150,3078903
3160,3082500
3170,3088005
3180,3071790
3190,3088208
3200,3082218
3210,3087944
3220,3081471
3230,3088422
3240,3063533
3250,3079434
3260,3072282
3270,3052020
3280,3072253
3290,3069657
3300,3072257
3310,3082109
3320,3075811
3330,3005632
3340,2916555
3350,3069401
3360,3065995
3370,3075341
3380,3020436
3390,2894115
3400,3064599
3410,3088164
3420,3072565
3430,3077489
3440,3082388
3450,3087993
3460,3082274
3470,3088337
3480,3081838
3490,3082589
3500,3081775
3510,3087864
3520,3051579
3530,3063652
3540,3056777
3550,3064136
3560,3058932
3570,3075655
3580,3063615
3590,3082183
3600,3066258
3610,3081685
3620,3081826
3630,3087838
3640,3082165
3650,3081977
3660,3072411
3670,3081445
3680,3060122
3690,3071800
3700,3066094
3710,3079054
3720,2968452
3730,3028296
3740,3066111
3750,3053110
3760,3065217
3770,3078480
3780,3076061
3790,3060962
3800,3081858
3810,3084709
3820,3030209
3830,3088201
3840,3082740
3850,3040357
3860,3075410
3870,3087953
3880,3069322
3890,2998982
3900,3066781
3910,3084640
3920,3041086
3930,3082014
3940,3072412
3950,3078057
3960,3036925
3970,3081398
3980,3079219
3990,3063165
4000,3078684
4010,3084798
4020,3016322
4030,3043047
4040,3078742
4050,3060895
4060,3080851
4070,3081842
4080,3069347
4090,2983736
4100,3068839
4110,3082014
4120,3047940
4130,3075091
4140,3072394
4150,3066379
4160,2993626
4170,3081318
4180,3071329
4190,3060058
4200,3081088
4210,3087909
4220,3018369
4230,3045069
4240,3081966
4250,3074877
4260,3037492
4270,3081560
4280,3072770
4290,3044467
4300,3072764
4310,3081254
4320,3054709
4330,3058798
4340,3070526
4350,3073248
4360,2992095
4370,2978635
4380,2960594
4390,2925798
4400,2996247
4410,3074310
4420,3079439
4430,3055387
4440,3086870
4450,3080715
4460,2998952
4470,3038949
4480,3087514
4490,3051401
4500,3087770
4510,3082761
4520,3084375
4530,2960293
4540,3088266
4550,3082012
4560,3024870
4570,3040466
4580,3070954
4590,2953679
4600,3047508
4610,3072932
4620,3081393
4630,2952175
4640,3075421
4650,3072616
4660,3050837
4670,3072906
4680,3081710
4690,3026427
4700,2996403
4710,3066603
4720,3078502
4730,3047572
4740,3056649
4750,3059824
4760,2992359
4770,3028739
4780,3075645
4790,3066279
4800,3084348
4810,3082361
4820,3088150
4830,3082193
4840,3085209
4850,3072554
4860,3082132
4870,3081445
4880,3082390
4890,3072764
4900,3062534
4910,3047146
4920,3084497
4931,3082497
4941,3078775
4951,3068934
4961,3081689
4971,3068747
4981,3074627
4991,3062202
5001,3081655
5011,3075801
5021,3082343
5031,3060500
5041,3075890
5051,3072909
5061,3088350
5071,3069097
5081,3081952
5091,3066032
5101,3081550
5111,3034696
5121,3081558
5131,3072783
5141,3084678
5151,3066185
5161,3085211
5171,3078476
5181,3071437
5191,3072576
5201,3079250
5211,3063640
5221,3084807
5231,3054920
5241,3071644
5251,3075237
5261,3088246
5271,3082138
5281,3088266
5291,3072849
5301,3081883
5311,3075140
5321,3088307
5331,3076210
5341,3080851
5351,3072595
5361,3069910
5371,3071978
5381,3081611
5391,3062690
5401,3081411
5411,3069035
5421,3035220
5431,2958723
5441,2983350
5451,2991551
5461,3063768
5471,2993646
5481,3043557
5491,3061422
5501,3072746
5511,3072270
5521,3081618
5531,3066619
5541,3081774
5551,3072745
5561,3078709
5571,3072482
5581,3081898
5591,3065442
5601,3082036
5611,3072448
5621,3069235
5631,3066308
5641,3081916
5651,3072177
5661,3088282
5671,3081977
5681,3081316
5691,3066253
5701,3069565
5711,3072684
5721,3075696
5731,3071829
5741,3082055
5751,3072602
5761,3087978
5771,3082540
5781,3075037
5791,3063434
5801,3068219
5811,3069698
5821,3081578
5831,3073022
5841,3075781
5851,3072887
5861,3084158
5871,3074118
5881,3081562
5891,3072849
5901,3078689
5911,3072600
5921,3067629
5931,3066942
5941,3081618
5951,3069449
5961,3088010
5971,3081990
5981,3088293
5991,3082114
6001,3078065
6011,3082262
6021,3082087
6031,3082221
6041,3082063
6051,3068904
6061,3066774
6071,3058138
6081,3082398
6091,3060240
6101,3075417
6111,3079059
6121,3088246
6131,3059445
6141,3088256
6151,3075907
6161,3088186
6171,3082502
6181,3077852
6191,3081809
6201,3087751
6211,3072370
6221,3078832
6231,3072648
6241,3081403
6251,3082477
6261,3087839
6271,3078535
6281,3081933
6291,3068382
6301,3084760
6311,3078530
6321,3087858
6331,3082150
6341,3087864
6351,3053367
6361,3053896
6371,3060385
6381,3066686
6391,3056680
6401,3072501
6411,3041728
6421,3075346
6431,3066032
6441,3075121
6451,3069610
6461,3080058
6471,3059855
6481,3026532
6491,2941970
6501,3030170
6511,3069552
6521,3063537
6531,3066475
6541,3037857
6551,2991826
6561,3068228
6571,3065861
6581,3081739
6591,3074180
6601,3081734
6611,3072100
6621,3088436
6631,3082092
6641,3088103
6651,3081673
6661,3081930
6671,3072485
6681,3081533
6691,3071965
6701,3051872
6711,3076075
6721,3072048
6731,3064998
6741,3075289
6751,3066444
6761,3074011
6771,3072530
6781,3084983
6791,3075280
6801,3084996
6811,3078668
6821,2938997
6831,2881927
6841,2887849
6851,3062315
6861,3088272
6871,3071645
6881,3071217
6891,3069725
6901,3078495
6911,3072897
6921,3081846
6931,3066900
6941,3052567
6951,3058142
6961,3057182
6971,3072540
6981,3081812
6991,3079221
7001,3084299
7011,3081877
7021,3065257
7031,3063977
7041,3063617
7051,3060945
7061,3081872
7071,3075817
7081,3078397
7091,3066139
7101,3082024
7111,3066321
7121,3081604
7131,3066743
7141,3075572
7151,3072723
7161,3085266
7171,3065316
7181,3073138
7191,3066428
7202,3072567
7212,3063799
7222,3078396
7232,3053430
7242,3075694
7252,3066383
7262,3081747
7272,3073006
7282,3075609
7292,3063221
7302,3075765
7312,3066555
7322,3081350
7332,3024823
7342,3088435
7352,3082283
7362,3087768
7372,3082380
7382,3082129
7392,3066497
7402,3081890
7412,3066666
7422,3082199
7432,3071860
7442,3082134
7452,3066251
7462,3078749
7472,3066119
7482,3081810
7492,3079316
7502,3075415
7512,3069286
7522,3040733
7532,3023358
7542,2935870
7552,3038049
7562,3052544
7572,3055471
7582,2930335
7592,3019687
7602,3081602
7612,3066593
7622,3081376
7632,3075552
7642,3084846
7652,3082041
7662,3078484
7672,3072652
7682,3084865
7692,3069019
7702,3081666
7712,3071234
7722,3081778
7732,3075119
7742,3088430
7752,3078963
7762,3088300
7772,3081906
7782,3074831
7792,3072779
7802,3088314
7812,3081967
7822,3075441
7832,3072503
7842,3075852
7852,3053892
7862,3072529
7872,3066808
7882,3081694
7892,3075839
7902,3088033
7912,3072549
7922,3075610
7932,3072616
7942,3051345
7952,3072565
7962,3041145
7972,3065977
7982,3063772
7992,3066472
8002,3072616
8012,3066882
8022,3056913
8032,3056105
8042,3068001
8052,3072221
8062,3071419
8072,3056962
8082,3078400
8092,3081849
8102,3088020
8112,3081735
8122,3088364
8132,3060674
8142,3076103
8152,3069458
8162,3081984
8172,3061924
8182,3075993
8192,3072351
8202,3088320
8212,3081697
8222,3079473
8232,3072631
8242,3081888
8252,3071880
8262,3085331
8272,3079240
8282,3084695
8292,3078134
8302,3088189
8312,3082441
8322,3088243
8332,3075513
8342,3081551
8352,3068781
8362,3087878
8372,3081290
8382,3078815
8392,3065840
8402,3081891
8412,3072578
8422,3085015
8432,3082616
8442,3088057
8452,3047766
8462,3084301
8472,3082689
8482,3075664
8492,3077066
8502,3076746
8512,3077359
8522,3070498
8532,3079365
8542,3069061
8552,3040287
8562,2975751
8572,2900288
8582,2977730
8592,3011172
8602,2982449
8612,3047864
8622,2986994
8632,3059261
8642,3067576
8652,3077454
8662,3066971
8672,3078272
8682,3073060
8692,3079756
8702,3073168
8712,3084255
8722,3075702
8732,3080746
8742,3056105
8752,3084445
8762,3075490
8772,3084860
8782,3079063
8792,3075290
8802,3065888
8812,3081420
8822,3073013
8832,3084905
8842,3050805
8852,3081736
8862,3078630
8872,3069416
8882,3072214
8892,3081562
8902,3061930
8912,3087806
8922,3082250
8932,3075551
8942,3060035
8952,3082038
8962,3062418
8972,3081991
8982,3075187
8992,3084788
9002,3079553
9012,3085155
9022,3069540
9032,3077498
9042,3072593
9052,3088240
9063,3067988
9073,3027815
9083,3068878
9093,3075845
9103,3072452
9113,3075672
9123,3069461
9133,3082087
9143,3072400
9153,3081513
9163,3072366
9173,3065075
9183,3034669
9193,3078595
9203,3063105
9213,3077758
9223,3058455
9233,3072098
9243,3062026
9253,3082146
9263,3065746
9273,3075551
9283,3071995
9293,3085165
9303,3081731
9313,3064054
9323,3062726
9333,3081899
9343,3081660
9353,3088289
9363,3081449
9373,3088259
9383,3074446
9393,3087929
9403,3076380
9413,3080328
9423,3072873
9433,3081640
9443,3072802
9453,3081900
9463,3075748
9473,3081509
9483,3065288
9493,3065698
9503,3067080
9513,3081859
9523,3063250
9533,3082056
9543,3056551
9553,3075226
9563,3063590
9573,3079976
9583,3071864
9593,3075720
9603,3042524
9613,3014290
9623,2899357
9633,2955973
9643,2955920
9653,3039969
9663,3071984
9673,3075161
9683,3081354
9693,3088252
9703,3082153
9713,3088250
9723,3081478
9733,3088304
9743,3062381
9753,3088330
9763,3081428
9773,3087985
9783,3082188
9793,3088289
9803,3081968
9813,3054097
9823,3050180
9833,3053433
9843,3040463
9853,2929146
9863,3049288
9873,3088161
9883,3063070
9893,3075525
9903,3035512
9913,3084807
9923,3081868
9933,3077412
9943,3066453
9953,3081422
9963,3066545
9973,3075754
9983,3072715
9993,3084689
10003,3078055
10013,3088386
10023,3075994
10033,3051720
10043,3069222
10053,3065405
10063,3072358
10073,3073188
10083,3062445
10093,3081705
10103,3075163
10113,3088425
10123,3082553
10133,3078663
10143,3066503
10153,3044254
10163,3062527
10173,3070879
10183,3075568
10193,3088181
10203,3082249
10213,3082692
10223,3065858
10233,3081843
10243,3071765
10253,3081857
10263,3066756
10273,3042553
10283,3053073
10293,3078472
10303,3069442
10313,3081967
10323,3066489
10333,3072773
10343,3066038
10353,3084397
10363,3082151
10373,3087957
10383,3072139
10393,3081838
10403,3062438
10413,3081724
10423,3035770
10433,3082016
10443,3062962
10453,3081748
10463,3079446
10473,3088066
10483,3081841
10493,3065497
10503,3060391
10513,3081792
10523,3074849
10533,3078655
10543,3066781
10553,3078754
10563,3064067
10573,3072314
10583,3059802
10593,3072371
10603,3069845
10613,3071645
10623,3072221
10633,3084816
10643,3065375
10653,3068949
10663,3072596
10673,3087719
10683,2953860
10693,3029039
10703,3021807
10713,3075678
10723,2962982
10733,3013214
10743,3072728
10753,3081851
10763,3072732
10773,3081845
10783,3072622
10793,3081704
10803,3075543
10813,3087819
10823,3082503
10833,3078625
10843,3060190
10853,3080763
10863,3054854
10873,3081579
10883,3055252
10893,3084897
10903,3068175
10913,3063648
10923,2913488
10933,3081774
10943,3072406
10953,3057830
10963,3073803
10973,3080973
10983,3066469
10993,3081535
11003,3072516
11013,3079083
11023,3081951
11033,3088220
11043,3082007
11053,3050996
11063,3068992
11073,3081933
11083,3072412
11093,3081867
11103,3062621
11113,3054760
11123,3059572
11133,3075570
11143,3075437
11153,3083831
11163,3082253
11173,3070963
11183,3075872
11193,3084042
11203,3082118
11213,3088381
11223,3081294
11233,2982390
11243,3058231
11253,3074986
11263,3072124
11273,3075568
11283,3072283
11293,3075920
11303,3069181
11313,3088170
11323,3081942
11333,3088145
11343,3082442
11353,3087718
11363,3069535
11373,3081252
11383,3081850
11393,3088086
11403,3082498
11413,3087588
11423,3081782
11433,3070664
11443,3071846
11453,3082053
11463,3072104
11473,3077749
11483,3052320
11494,3081764
11504,3074992
11514,3069293
11524,3044852
11534,3072814
11544,3060473
11554,3062426
11564,3069326
11574,3072780
11584,3066613
11594,3081949
11604,3078969
11614,3088100
11624,3081161
11634,3088245
11644,3082507
11654,3078075
11664,3066294
11674,3081729
11684,3071979
11694,3078416
11704,3072707
11714,3065725
11724,3007068
11734,3061039
11744,2998810
11754,3020954
11764,3056833
11774,3068804
11784,2997457
11794,3003033
11804,3066011
11814,3082134
11824,3066173
11834,3081705
11844,2954276
11854,2966739
11864,3079196
11874,3078472
11884,3069973
11894,3078581
11904,3075095
11914,3085267
11924,3074793
11934,3084502
11944,3056098
11954,3048575
11964,3048877
11974,3069408
11984,3049444
11994,3065577
12004,3066213
12014,3073761
12024,3072591
12034,3081534
12044,3075574
12054,3072265
12064,3068508
12074,3085296
12084,3078748
12094,3088088
12104,3082246
12114,3087782
12124,2969170
12134,2891016
12144,2890927
12154,2990664
12164,2899676
12174,3066719
12184,3063497
12194,3082091
12204,3063404
12214,3074021
12224,3062035
12234,3071339
12244,3072564
12254,3063067
12264,3059783
12274,3084458
12284,3082203
12294,3078889
12304,3078992
12314,3088032
12324,3075715
12334,3087360
12344,3081578
12354,3080611
12364,3075348
12374,3085034
12384,3082214
12394,3081625
12404,3072596
12414,3081621
12424,3056707
12434,3082202
12444,3066679
12454,3049547
12464,3069086
12474,3072154
12484,3072714
12494,3081644
12504,3079364
12514,3087711
12524,3082188
12534,3074906
12544,3072681
12554,3082050
12564,3075810
12574,3078503
12584,3072461
12594,3081249
12604,3072488
12614,3081266
12624,3075744
12634,3063442
12644,3078904
12654,3075001
12664,3079388
12674,3068226
12684,3073298
12694,3069748
12704,3073849
12714,3074239
12724,3080519
12734,3070983
12744,3057258
12754,2931882
12764,2962362
12774,2965094
12784,3005369
12794,2922324
12804,3075868
12814,3019624
12824,3023864
12834,3065294
12844,3081554
12854,3079055
12864,3078494
12874,3072651
12884,3076104
12894,3064557
12904,3061181
12914,3069417
12924,3069788
12934,3065708
12944,3059685
12954,3070793
12964,3074979
12974,3078704
12984,3088366
12994,3069143
13004,3081788
13014,3070526
13024,3078363
13034,3072581
13044,3084394
13054,3082382
13064,3075477
13074,3053482
13084,3069453
13094,3066403
13104,3066482
13114,3069017
13124,3075715
13135,3075902
13145,3081414
13155,3071751
13165,3075900
13175,3055488
13185,3075473
13195,3057085
13205,3068294
13215,3062445
13225,3075118
13235,3052463
13245,3069692
13255,3072298
13265,3064679
13275,3025471
13285,3081925
13295,3072773
13305,3081377
13315,3069190
13325,3081832
13335,3074851
13345,3081480
13355,3056189
13365,3082073
13375,3065253
13385,3081499
13395,3066559
13405,3081798
13415,3075597
