Time(ms),Frequency(kHz)
0,3100021
28,3085326
38,3083305
48,3076878
58,3060842
68,3066946
78,3072056
88,3078951
98,3075291
108,3074017
118,3077451
128,3076558
138,3071990
148,3078849
158,3080064
168,3085710
178,3051827
188,3073879
198,3073273
208,3067485
218,3078602
228,3078258
238,3066434
248,3085235
258,3076036
268,3078269
278,3060274
288,3082094
298,3051585
308,3081589
318,3082730
328,3075083
338,3071820
348,3072541
358,3072236
368,3082037
378,3082199
388,3088002
398,3082462
408,3087853
418,3070836
428,3075601
438,3069043
448,3075693
458,3039607
468,3067674
478,3057363
488,3075437
499,3075359
509,3087534
519,3075751
529,3087913
539,3072079
549,3081308
559,3047071
569,3057458
579,3054211
589,3040559
599,3065253
609,2906589
619,2956418
629,3069765
639,3071807
649,3081624
659,3078878
669,3087597
679,3057986
689,3081832
699,3071493
709,3087922
719,3074630
729,3088436
739,3076114
749,3088237
759,3081251
769,3088447
779,3069048
789,3081742
799,3075433
809,3088238
819,3066379
829,3081659
839,3078763
849,3087598
859,3068993
869,3081455
879,3078386
889,3081455
899,3062839
909,3068085
919,3062988
929,3075599
939,3067690
949,3078556
959,3052307
969,3077636
979,3072432
989,3070516
999,3072263
1009,3084389
1019,3082008
1029,3087833
1039,3078120
1049,3085301
1059,3081925
1069,3087845
1079,3081921
1089,3088180
1099,3081508
1109,3087621
1119,3076396
1129,3077571
1139,3066015
1149,3078889
1159,3069693
1169,3074963
1179,3062262
1189,3079021
1199,3044430
1209,3078845
1219,3069751
1229,3084660
1239,3082050
1249,3087904
1259,3081723
1269,3087618
1279,3082050
1289,3087540
1299,3081573
1309,3081655
1319,3072519
1329,3077509
1339,3072359
1349,3075689
1359,3066645
1369,3082269
1379,3075486
1389,3087597
1399,3081832
1409,3081666
1419,3071985
1429,3081679
1439,3081645
1449,3087445
1459,3058284
1469,3075744
1479,3062281
1489,3078984
1499,3060480
1509,3069566
1519,3066220
1529,3078218
1539,3068124
1549,3075358
1559,3072485
1569,3084662
1579,3082265
1589,3081260
1599,3072751
1609,3088092
1619,2993111
1629,3010068
1639,2906321
1649,3020947
1659,3072117
1669,3085027
1679,3082270
1689,3087533
1699,3081280
