Time(ms),Frequency(kHz)
0,3087382
28,3079365
38,3073176
48,3027989
58,2949608
68,3061092
78,3068883
88,3067067
98,3076493
108,3086623
118,3082386
128,3087501
138,3082001
148,3087033
158,3082451
168,3087751
178,3082296
188,3087569
198,3076117
208,3078041
218,3072535
228,3075222
238,3065758
248,3067447
258,3065878
268,3081395
278,3076273
288,3087629
298,3066282
308,3075642
318,3065734
328,3076199
338,3070156
348,3075985
358,3072157
368,3080947
378,3078638
388,3088269
398,3081735
408,3080724
419,3069355
429,3081517
439,3072754
449,3088093
459,3082277
469,3069360
479,3072697
489,3087582
499,3072257
509,3075811
519,3072304
529,3075435
539,3066574
549,3076709
559,3074150
569,3082465
579,3072818
589,3081857
599,3066542
609,3075677
619,3072144
629,3087853
639,3071618
649,3082046
659,3072184
669,3087633
679,3082281
689,3078766
699,3066332
709,3081550
719,3080853
729,3078578
739,3072332
749,2989877
759,3025247
769,3000115
779,3050603
789,3081514
799,3075559
809,3087696
819,3064046
829,3087743
839,3081565
849,3088207
859,3057592
869,3075607
879,3057504
889,3074793
899,3052603
909,3065880
919,3066830
929,3084764
939,3065441
949,3065947
959,3054640
969,2959156
979,3042937
989,3071629
999,3066768
1009,3081911
1019,3075421
1029,3088265
1039,3081917
1049,3088341
1059,3081571
1069,3088230
1079,3082131
1089,3087710
1099,3065568
1109,3081094
1119,3078460
1129,3081250
1139,3081406
1149,3087647
1159,3082140
1169,3087873
1179,3066077
1189,3081637
1199,3069311
1209,3081897
1219,3053506
1229,3081625
1239,3072551
1249,3085242
1259,3075540
1269,3075513
1279,3072447
1289,3084381
1299,3081759
1309,3074528
1319,3071793
1329,3081925
1339,3072306
1349,3081931
1359,3075172
1369,3087574
1379,3082509
1389,3088175
1399,3081364
1409,3088083
1419,3082478
1429,3081461
1439,3081331
1449,3087701
1459,3082130
1469,3081702
1479,3073020
1489,3081638
1499,3078321
1509,3087831
1519,3071819
1529,3066345
1539,3066649
1549,3076223
1559,3075136
1569,3082236
1579,3072967
1589,3062474
1599,3063408
1609,3081462
1619,3073276
1629,3078639
1639,3079101
1649,3075066
1659,3073096
1669,3075441
1679,3050439
1689,3014251
1699,3051040
1709,3066673
1719,3063792
1729,3075755
1739,3066468
1749,3082092
1759,3072272
1769,3008857
1779,3071335
1789,3081065
1799,3037415
1809,2913263
1819,2932762
1829,2972947
1839,3059736
1849,2988672
1859,3071828
1869,3063003
1879,3072015
1889,3081692
1899,3078594
1909,3078245
1919,3072383
1929,3081959
1939,3071594
1949,3081906
1959,3072265
1969,3081626
1979,3072593
1989,3081660
1999,3069660
2009,3073743
2019,3065901
2029,3075988
2039,3059340
2049,3076008
2059,3067767
2069,3081692
2079,3072230
2089,3075357
2099,3051901
2109,3079453
2119,3062421
2129,3074111
2139,3068231
2149,3081305
2159,3078725
2169,3088011
2179,3082273
2189,3075350
2199,3072565
2209,3077235
2219,3066531
2229,3069435
2239,3065796
2249,3081444
2259,3054194
2269,3066603
2279,3046313
2289,3075582
2299,3057409
2309,3082175
2319,3071761
2329,3076352
2339,3071912
2349,3076168
2359,3053342
2369,3075413
2379,3059419
2389,3076327
2399,3057280
2409,3074613
2419,3069279
2429,3088018
2439,3081362
2449,3075779
2459,3071737
2469,3076168
2479,3081955
2489,3087846
2499,3081905
2509,3068872
2519,3066832
2529,3075695
2539,3069657
2549,3070201
2559,3072145
2569,3081307
2579,3075087
2589,3081935
2599,3060150
2609,3078127
2619,3066991
2629,3069805
2639,3066120
2649,3065690
2659,3075962
2669,3087750
2679,3081789
2689,3088338
2699,3068752
2709,3081855
2719,3059032
2729,3081964
2739,3071821
2749,3081036
2759,3066901
2769,3081557
2779,3075891
2789,3087676
2799,3078363
2809,3088341
2819,3072699
2829,3075779
2839,3000504
2849,3081576
2859,2947449
2869,2949094
2879,2978515
2889,2961385
2899,2986481
2909,3058161
2919,3072367
2929,3080920
2939,3079705
2949,3087736
2959,3078269
2970,3085271
2980,3081884
2990,3078579
3000,3072290
3010,3080399
3020,3072129
3030,3075742
3040,3072814
3050,3087652
3060,3075156
3070,3088152
3080,3082141
3090,3084894
3100,3070160
3110,3082209
3120,3065989
3130,3075064
3140,3072488
3150,3085171
3160,3072693
3170,3081675
3180,3072319
3190,3078378
3200,3072391
3210,3084821
3220,3081502
3230,3087493
3240,3068866
3250,3072430
3260,3056805
3270,3077888
3280,3072793
3290,3087611
3300,3081810
3310,3087514
3320,3068820
3330,3076002
3340,3072231
3350,3085245
3360,3081885
3370,3087731
3380,3068770
3390,3081773
3400,3072114
3410,3081898
3420,3072025
3430,3075580
3440,3064371
3450,3081887
3460,3079098
3470,3061282
3480,3072291
3490,3081700
3500,3081274
3510,3088255
3520,3081612
3530,3088201
3540,3081165
3550,3073883
3560,3072616
3570,3080918
3580,3078858
3590,3068927
3600,3065887
3610,3081852
3620,3058874
3630,3078242
3640,3062448
3650,3084449
3660,3082291
3670,3081237
3680,3082362
3690,3087745
3700,3074767
3710,3088360
3720,3072476
3730,3081545
3740,3075430
3750,3088327
3760,3081739
3770,3088048
3780,3081625
3790,3087916
3800,3081984
3810,3074932
3820,3072642
3830,3078638
3840,3072848
3850,3075617
3860,3063291
3870,3080203
3880,3054722
3890,3048218
3900,2973605
3910,2944770
3920,3016098
3930,3075511
3940,3060472
3950,3061937
3960,2953130
3970,2977452
3980,3072300
3990,3084818
4000,3082114
