Time(ms),Frequency(kHz)
0,3100021
28,3084284
38,3063824
48,3027921
58,2989475
68,2930756
78,2918629
88,3070822
98,3008751
108,3077112
118,3079399
128,3083145
138,3068495
148,3087435
158,3082170
168,3087318
178,3076177
188,3087214
198,3068997
208,3081847
218,3078900
228,3088460
238,3054225
248,3063105
258,2992756
268,3072573
278,3054340
288,3078044
298,3075596
308,3087798
318,3081443
328,3069155
338,3058571
348,3061451
358,3066372
368,3058208
378,3068525
388,3075447
398,3051629
408,3081583
418,3066670
428,3081666
438,3069614
449,3078680
459,3072512
469,3081202
479,3082432
489,3047072
499,3062342
509,3069410
519,3063072
529,3082274
539,3072830
549,3088306
559,3081633
569,3087695
579,3082739
589,3088282
599,3078623
609,3087409
619,3082014
629,3081642
639,3081547
649,3081750
659,3082091
669,3084001
679,3072351
689,3076027
699,3067923
709,3082094
719,3075723
729,3088277
739,3069065
749,3082001
759,3065813
769,3077689
779,3065982
789,3081488
799,3042148
809,3069011
819,3072596
829,3084624
839,3082341
849,3088295
859,3077996
869,3088322
879,3064799
889,3081743
899,3066836
909,3074639
919,3072515
929,3088344
939,3081063
949,3088046
959,3082260
969,3087919
979,3072198
989,3075695
999,3072067
1009,3087803
1019,3081375
1029,3087600
1039,3081236
1049,3082489
1059,3064973
1069,3081722
1079,3068466
1089,3081877
1099,3082667
1109,3078329
1119,3071696
1129,3064417
1139,3013983
1149,3032097
1159,2999188
1169,3069477
1179,2997495
1189,2936709
1199,3072240
1209,3081807
1219,3072829
1229,3075635
1239,3072519
1249,3081617
1259,3079011
1269,3083654
1279,3062553
1289,3079009
1299,3065935
1309,3085062
1319,3081971
1329,3088338
1339,3081508
1349,3077471
1359,3052999
1369,3072621
1379,3066221
1389,3081544
1399,3075315
1409,3088280
1419,3082303
1429,3087612
1439,3081567
1449,3071041
1459,3057682
1469,3069623
1479,3056918
1489,3069609
1499,3057136
1509,3085012
1519,3062358
1529,3081981
1539,3075696
1549,3088047
1559,3080957
1569,3087826
1579,3069276
1589,3081856
1599,3069378
1609,3075341
1619,3066378
1629,3072142
1639,3072767
1649,3082015
1659,3081882
1669,3087825
1679,3072401
1689,3077588
1699,3042606
1709,3085242
1719,3082187
1729,3068972
1739,3072477
1749,3084586
1759,3072081
1769,3078827
1779,3069502
1789,3082018
1799,3066226
1809,3082140
1819,3075369
1829,3088418
1839,3081754
1849,3078336
1859,3072502
1869,3084881
1879,3069371
1889,3059622
1899,3066371
1909,3081638
1919,3078933
1929,3081234
1939,3081331
1949,3078399
1959,3072426
1969,3084892
1979,3078077
1989,3087419
1999,3082016
2009,3087618
2019,3081811
2029,3087420
2039,3081014
2049,3067990
2059,3076113
2069,3074302
2079,3063745
2089,3079134
2099,3065215
2109,3083246
2119,3081957
2129,3087684
2139,3081429
2149,3075518
2159,3069267
2169,3053436
2179,2907363
2189,2947891
2199,3014294
2209,3034476
2219,3059095
2229,2978905
2239,2903830
2249,3075597
2259,3072971
2269,3065704
2279,3068990
2289,3078911
2299,3061721
2309,3070146
2319,3063661
2329,3062521
2339,3066477
2349,3059996
2359,3072338
2369,3081320
2379,3075227
2389,3087603
2399,3081803
2409,3078715
2419,3072581
2429,3075412
2439,3072347
2449,3084891
2459,3061627
2469,3082351
2479,3074929
2489,3087855
2499,3082280
2509,3081516
2519,3081145
2529,3074671
2539,3073077
2549,3074999
2559,3052931
2569,3081504
2579,3079050
2589,3088210
2599,3051839
2609,3081716
2619,3066191
2629,3081793
2639,3078859
2649,3087851
2659,3081590
2669,3087895
2679,3082142
2689,3088290
2699,3081274
2709,3081514
2719,3081636
2729,3078829
2739,3066362
2750,3078242
2760,3066839
2770,3081084
2780,3065620
2790,3076009
2800,3065976
2810,3069281
2820,3063046
2830,3075537
2840,3056716
2850,3069175
2860,3063499
2870,3082142
2880,3082080
2890,3087747
2900,3072077
2910,3078070
2920,3065675
2930,3081811
2940,3072485
2950,3075716
2960,3072815
2970,3081079
2980,3078143
2990,3087781
3000,3081972
3010,3088332
3020,3082151
3030,3087543
3040,3081515
3050,3079019
3060,3072751
3070,3076038
3080,3072474
3090,3081679
3100,3069579
3110,3078563
3120,3065575
3130,3078567
3140,3059777
3150,3079188
3160,3064376
3170,3070279
3180,3066413
3190,3078619
3200,3082144
3210,3078358
3220,3045639
3230,2998035
3240,3063796
3250,3056060
3260,3016059
3270,3037322
3280,2891200
3290,3035294
3300,3069586
3310,3078607
3320,3033713
3330,3027027
3340,3059225
3350,3071406
3360,3066224
3370,3077952
3380,3068783
3390,3081506
3400,3072724
3410,3088313
3420,3081487
3430,3088013
3440,3066074
3450,3081495
3460,3055667
3470,3081917
3480,3072799
3490,3085070
3500,3062544
3510,3070086
3520,3072084
3530,3075510
3540,3081608
3550,3087899
3560,3069127
3570,3081726
3580,3072610
3590,3088468
3600,3072830
3610,3081353
3620,3069352
3630,3075536
3640,3072056
3650,3084344
3660,3072314
3670,3063539
3680,3068188
3690,3085203
3700,3081627
3710,3072800
3720,3058818
3730,3075074
3740,3072706
3750,3087843
3760,3081726
3770,3087792
3780,3074841
3790,3082043
3800,3072559
3810,3084904
3820,3081464
3830,3078240
3840,3072449
3850,3084840
3860,3077549
3870,3077657
3880,3072651
3890,3076011
3900,3059145
3910,3074904
3920,3075060
3930,3087766
3940,3075443
3950,3087731
3960,3072213
3970,3081196
3980,3069037
3990,3079199
4000,3072429
4010,3077525
4020,3080609
4030,3083947
4040,3085939
4050,3075452
4060,3067854
4070,3068563
4080,3082003
4090,3082190
4100,3087283
4110,3082249
4120,3081521
4130,3061020
4140,3064152
4150,3072220
4160,3081025
4170,3078452
4180,3081671
4190,3081049
4200,3088276
4210,3081502
4220,3087750
4230,3081539
4240,3087526
4250,3082217
4260,3074928
4270,3014146
4280,2934596
4290,3002546
4300,3062532
4310,3013625
4320,3074937
4330,2995032
4340,2998826
4350,3041976
4360,3068447
4370,3065661
4380,3081465
4390,3051832
4400,3068272
4410,3051154
4420,3070247
4430,3072427
4440,3082037
4450,3065731
4460,3065242
4470,3066336
4481,3069901
4491,3066797
4501,3075226
4511,3072367
4521,3076038
4531,3072302
4541,3084847
4551,3069288
4561,3075981
4571,3072344
4581,3081274
4591,3078877
4601,3087554
4611,3081988
4621,3088314
4631,3068842
4641,3081453
4651,3072247
4661,3087692
4671,3081455
4681,3075315
4691,3072655
4701,3086770
4711,3081867
4721,3087947
4731,3081530
4741,3075109
4751,3063388
4761,3077069
4771,3063198
4781,3078601
4791,3072617
4801,3082417
4811,3072554
4821,3081881
4831,3079121
4841,3085276
4851,3078630
4861,3087841
4871,3081353
4881,3088374
4891,3081768
4901,3087976
4911,3081632
4921,3087872
4931,3078242
4941,3088334
4951,3078066
4961,3081601
4971,3078463
4981,3087486
4991,3069685
5001,3069061
5011,3072824
5021,3084415
5031,3081414
5041,3087883
5051,3081137
5061,3087906
5071,3081841
5081,3087529
5091,3081371
5101,3087502
5111,3082552
5121,3088130
5131,3068100
5141,3082384
5151,3081297
5161,3084239
5171,3082145
5181,3081596
5191,3075527
5201,3088438
5211,3082220
5221,3074839
5231,3072261
5241,3085162
5251,3082003
5261,3088073
5271,3082247
5281,3088208
5291,3082146
5301,3087648
5311,3051059
5321,3032447
5331,3033519
5341,3016124
5351,2957190
5361,2937329
5371,3063215
5381,3081793
5391,3078919
5401,3084744
5411,3075726
5421,3084957
5431,3078279
5441,3084896
5451,3075821
5461,3084922
5471,3069304
5481,3078881
5491,3065905
5501,3082026
5511,3058072
5521,3066159
5531,3050355
5541,3075643
5551,3060151
5561,3036432
5571,2899385
5581,3075608
5591,3072162
5601,3078419
5611,3072744
5621,3071632
5631,3072191
5641,3084471
5651,3082203
5661,3084862
5671,3068655
5681,3075592
5691,3063275
5701,3081686
5711,3079314
5721,3088332
5731,3077872
5741,3068877
5751,3062481
5761,3073425
5771,3058564
5781,3081596
5791,3075549
5801,3087717
5811,3068402
5821,3081638
5831,3072140
5841,3081918
5851,3063058
5861,3078996
5871,3066582
5881,3078497
5891,3034789
5901,3075585
5911,3058552
5921,3081036
5931,3072064
5941,3081128
5951,3072253
5961,3081587
5971,3075194
5981,3081489
5991,3056071
6001,3082015
6011,3072615
6021,3082113
6031,3072822
6041,3082205
6051,3058389
6061,3088284
6071,3081982
6081,3088266
6091,3081733
6101,3078484
6111,3072537
6121,3085134
6131,3081782
6141,3088050
6151,3081567
6161,3087607
6171,3081911
6181,3069454
6191,3066882
6201,3088481
6211,3046496
6221,3081843
6231,3068819
6241,3068994
6251,3063023
6261,3087956
6271,3074380
6281,3081768
6291,3079160
6301,3088093
6311,3081906
6321,3087589
6331,3081817
6341,3081439
6351,3062221
6361,3054673
6371,2996792
6381,2953058
6391,2920999
6401,2941918
6411,3067553
6421,3077306
6431,3061855
6441,3075738
6451,2978918
6461,3027184
6471,3066061
6481,3081878
6491,3079052
6501,3087702
6511,3081760
6521,3087941
6531,3081608
6541,3088350
6551,3072118
6561,3069858
6571,3072392
6581,3081878
6591,3071634
6601,3087586
6611,3081974
6621,3087625
6631,3082056
6641,3087886
6651,3081301
6661,3087944
6671,3082006
6681,3067726
6691,3072515
6701,3082023
6711,3057717
6721,3075610
6731,3065711
6741,3075496
6751,3062667
6761,3081584
6771,3072525
6781,3078095
6791,3074589
6801,3087993
6811,3082076
6821,3088181
6831,3066648
6841,3082402
6851,3072453
6861,3087946
6872,3081955
6882,3087266
6892,3082231
6902,3087896
6912,3078282
6922,3088113
6932,3063867
6942,3081984
6952,3078695
6962,3072709
6972,3069948
6982,3081942
6992,3059439
7002,3081775
7012,3062753
7022,3081732
7032,3072667
7042,3075276
7052,3072469
7062,3085139
7072,3082201
7082,3088051
7092,3075754
7102,3082080
7112,3072719
7122,3058895
7132,3071906
7142,3075718
7152,3072530
7162,3084461
7172,3081869
7182,3072115
7192,3060442
7202,3075208
7212,3059823
7222,3082145
7232,3060012
7242,3081835
7252,3072941
7262,3084478
7272,3054114
7282,3081667
7292,3078018
7302,3087415
7312,3068959
7322,3081560
7332,3078794
7342,3087609
7352,3071027
7362,3068762
7372,3072841
7382,3081918
7392,3081321
7402,3081847
7412,3058779
7422,2969480
7432,3020204
7442,2940139
7452,2992794
7462,2962069
7472,3003079
7482,3036632
7492,3072332
7502,3081810
7512,3082281
7522,3087918
7532,3082228
7542,3087759
7552,3081146
7562,3087657
7572,3075883
7582,3075805
7592,3066285
7602,3081750
7612,3054163
7622,3072307
7632,3072481
7642,3075563
7652,3069226
7662,3084902
7672,3081999
7682,3088198
7692,3082296
7702,3087980
7712,3081661
7722,3075521
7732,3072067
7742,3081408
7752,3081462
7762,3087650
7772,3082049
7782,3081359
7792,3060430
7802,3072178
7812,3058526
7822,3075881
7832,3072295
7842,3063088
7852,3075718
7862,3087972
7872,3082563
7882,3088319
7892,3068718
7902,3066922
7912,3053848
7922,3075820
7932,3063011
7942,3081528
7952,3066730
7962,3081342
7972,3072447
7982,3085181
7992,3069267
8002,3081536
8012,3072378
8022,3071772
8032,3080999
8042,3087691
8052,3072856
8062,3070857
8072,3054239
8082,3072801
8092,3053835
8102,3075735
8112,3065446
8122,3081754
8132,3074996
