Time(ms),Frequency(kHz)
0,3078860
28,3073732
38,3079861
48,3075164
58,3063539
68,3068963
78,3075670
88,3078071
98,3084360
108,3085284
118,3083984
128,3086005
138,3083965
148,3073521
158,3069326
168,3074939
178,3074875
188,3073145
198,3074268
208,3082063
218,3083035
228,3087390
238,3082638
248,3076889
258,3069942
268,3078189
278,3073578
288,3080591
298,3067642
308,3074939
318,3067292
328,3083912
338,3081444
348,3088402
358,3081322
368,3087304
378,3082687
388,3087759
398,3081763
408,3087831
418,3081466
428,3088319
438,3081771
448,3087969
458,3082021
468,3081561
478,3069011
488,3070883
498,3065597
508,3088300
518,3082282
528,3087827
538,3081682
548,3087862
558,3081857
568,3078321
578,3072584
588,3081625
598,3081492
608,3087728
619,3075584
629,3081803
639,3075756
649,3085017
659,3056805
669,3061819
679,3059676
689,3082087
699,3060784
709,3075492
719,3072599
729,3084750
739,3068209
749,3072281
759,3047216
769,3076766
779,3075257
789,3084869
799,3078992
809,3084512
819,3001132
829,2949064
839,2929806
849,3069337
859,2993557
869,3001043
879,3065730
889,3081650
899,3069355
909,3078326
919,3052933
929,3075618
939,3068682
949,3075943
959,3063769
969,3081850
979,3063328
989,3081746
999,3071254
1009,3088245
1019,3063080
1029,3081811
1039,3057177
1049,3081446
1059,3072902
1069,3081466
1079,3075432
1089,3082234
1099,3072312
1109,3075286
1119,3065677
1129,3075195
1139,3072307
1149,3081651
1159,3075627
1169,3088044
1179,3081952
1189,3088025
1199,3055781
1209,3081611
1219,3062831
1229,3075577
1239,3066749
1249,3075660
1259,3063854
1269,3078221
1279,3069195
1289,3075609
1299,3072504
1309,3075355
1319,3060100
1329,3075722
1339,3072659
1349,3088302
1359,3081499
1369,3077921
1379,3072407
1389,3084942
1399,3072446
1409,3081508
1419,3079338
1429,3072799
1439,3072532
1449,3087513
1459,3081878
1469,3078713
1479,3066402
1489,3059830
1499,3062598
1509,3072104
1519,3063401
1529,3068189
1539,3065743
1549,3087737
1559,3082193
1569,3088063
1579,3081603
1589,3069470
1599,3072389
1609,3075469
1619,3069898
1629,3081330
1639,3071533
1649,3078782
1659,3069673
1669,3075981
1679,3060631
1689,3066339
1699,3070115
1709,3078875
1719,3075159
1729,3085136
1739,3061795
1749,3075477
1759,3066097
1769,3081503
1779,3078835
1789,3087504
1799,3081778
1809,3075414
1819,3049598
1829,3078306
1839,3066237
1849,3081859
1859,2944101
1869,2891537
1879,2912950
1889,3032874
1899,3060434
1909,3026845
1919,2905054
1929,3081119
1939,3078574
1949,3088184
1959,3078372
1969,3076868
1979,3069864
1989,3078219
1999,3075722
2009,3084681
2019,3078742
2029,3084340
2039,3069405
2049,3079315
2059,3062578
2069,3075275
2079,3075490
2089,3088153
2099,3075303
2109,3075264
2119,3072286
2129,3087778
2139,3082044
2149,3087763
2159,3074617
2169,3084294
2179,3079231
2189,3069066
2199,3068682
2209,3084479
2219,3081641
2229,3087319
2239,3081961
2249,3088270
2259,3081112
2269,3075587
2279,3072188
2289,3084797
2299,3068562
2309,3077503
2319,3070273
2329,3082083
2339,3074178
2349,3074588
2359,3075280
2369,3088216
2379,3081853
2389,3085124
2399,3072804
2409,3088426
2419,3072049
2429,3075537
2439,3075532
2449,3087495
2459,3081458
2469,3087916
2479,3071615
2489,3071203
2499,3075097
2509,3081232
2519,3081859
2529,3087825
2539,3081027
2549,3087733
2559,3070076
2569,3075490
2579,3071956
2589,3085414
2599,3082016
2609,3088075
2619,3082023
2629,3087773
2639,3068940
2649,3081910
2659,3081399
2669,3088076
2679,3063431
2689,3081756
2699,3056457
2709,3065455
2719,3043272
2729,3078619
2739,3066333
2749,3076262
2759,3072100
2769,3081663
2779,3066503
2789,3075657
2799,3062844
2809,3081732
2819,3072053
2829,3082151
2839,3072432
2849,3072450
2859,3069192
2869,3081659
2879,3066090
2889,3069881
2899,3049258
2909,2921468
2919,2900535
2929,3016504
2939,2994479
2949,3072571
2959,2941252
2969,3029968
2979,3074300
2989,3087979
2999,3082527
3009,3082636
3019,3050996
3029,3082309
3039,3075183
3049,3087708
3059,3081666
3069,3075329
3079,3061269
3089,3081691
3099,3075479
3109,3083894
3119,3075399
3129,3088234
3139,3081782
3149,3084560
3159,3081420
3169,3088160
3180,3059004
3190,3072624
3200,3056619
3210,3069741
3220,3061026
3230,3075527
3240,3066558
3250,3081273
3260,3071848
3270,3084552
3280,3068476
3290,3074560
3300,3071781
3310,3075163
3320,3075440
3330,3087965
3340,3081516
3350,3087839
3360,3069295
3370,3077726
3380,3078799
3390,3087973
3400,3081782
3410,3073342
3420,3071828
3430,3084264
3440,3082037
3450,3087969
3460,3081078
3470,3087616
3480,3072181
3490,3071442
3500,3072829
3510,3075538
3520,3072110
3530,3068921
3540,3075832
3550,3088052
3560,3067714
3570,3081972
3580,3071851
3590,3087598
3600,3072276
3610,3072257
3620,3062073
3630,3062142
3640,3072370
3650,3088189
3660,3081636
3670,3087489
3680,3081905
3690,3087270
3700,3082247
3710,3087613
3720,3081516
3730,3081101
3740,3081076
3750,3078909
3760,3066465
3770,3082045
3780,3066207
3790,3081785
3800,3075224
3810,3078470
3820,3057254
3830,3081287
3840,3081421
3850,3087462
3860,3081500
3870,3081783
3880,3082117
3890,3078631
3900,3072189
3910,3081878
3920,3079110
3930,3088104
3940,3065653
3950,3075688
3960,3050633
3970,3075621
3980,3004673
3990,3080946
4000,3065985
4010,3078312
4020,3070000
4030,3084913
4040,3074132
4050,3088394
4060,3081923
4070,3087814
4080,3081660
4090,3079012
4100,3081990
4110,3087929
4120,3081905
4130,3087799
4140,3076004
4150,3077246
4160,3044712
4170,3003852
4180,2984284
4190,3081454
4200,3059700
4210,3072511
4220,3069587
4230,3072209
4240,3065599
4250,3077834
4260,3081852
4270,3081083
4280,3072978
4290,3069510
4300,3065441
4310,3075885
4320,3075108
4330,3081812
4340,3075513
4350,3081717
4360,3065591
4370,3081878
4380,3068645
4390,3062971
4400,3062702
4410,3082235
4420,3064434
4430,3081522
4440,3078259
4450,3079165
4460,3071878
4470,3082074
4480,3066314
4490,3074601
4500,3081704
4510,3085534
4520,3084915
4530,3067653
4540,3085677
4550,3078194
4560,3085022
4570,3072444
4580,3053716
4590,3066507
4600,3071407
4610,3073633
4620,3086668
4630,3082431
4640,3086866
4650,3070769
4660,3067449
4670,3069550
4680,3080061
4690,3067446
4700,3080531
4710,3070049
4720,3080571
4730,3072568
4740,3087195
4750,3075365
4760,3087872
4770,3082010
4780,3087922
4790,3062851
4800,3076092
4810,3075555
4820,3088218
4830,3082253
4840,3087942
4850,3082098
4860,3087998
4870,3081622
4880,3087888
4890,3082359
4900,3088321
4910,3081113
4920,3078768
4930,3071859
4940,3068289
4950,3060055
4960,3075266
4970,3060494
4980,3081780
4990,3069577
5000,3081061
5010,2935165
5020,2908793
5030,2932206
5040,2922952
5050,3063841
5060,2918876
5070,2960907
5080,3075983
5090,3075023
5100,3088290
5110,3074717
5120,3081503
5130,3079467
5141,3087724
5151,3082017
5161,3071977
5171,3069181
5181,3077702
5191,3060847
5201,3075049
5211,3069427
5221,3075205
5231,3071652
5241,3081740
5251,3062547
5261,3081251
5271,3065010
5281,3080899
5291,3082633
5301,3087809
5311,3076393
5321,3086222
5331,3067939
5341,3081564
5351,3072338
5361,3074975
5371,3059259
5381,3081983
5391,3072171
5401,3081952
5411,3072062
5421,3081671
5431,3054417
5441,3085043
5451,3081891
5461,3087854
5471,3071893
5481,3079146
5491,3055609
5501,3075746
5511,3069156
5521,3072656
5531,3052804
5541,3078822
5551,3066549
5561,3075628
5571,3066414
5581,3081394
5591,3078838
5601,3088265
5611,3081420
5621,3087418
5631,3081567
5641,3087779
5651,3081698
5661,3088334
5671,3082209
5681,3087430
5691,3081222
5701,3087910
5711,3072149
5721,3082028
5731,3075728
5741,3087300
5751,3081836
5761,3087860
5771,3075067
5781,3075133
5791,3065159
5801,3081524
5811,3071651
5821,3081757
5831,3060549
5841,3075958
5851,3071691
5861,3082038
5871,3081164
5881,3087653
5891,3081568
5901,3088264
5911,3063258
5921,3081864
5931,3072432
5941,3075800
5951,3063458
5961,3070097
5971,3059364
5981,3081672
5991,3066166
6001,3074991
6011,3072679
6021,3087708
6031,3081511
6041,3078334
6051,3065523
6061,3078170
6071,3015255
6081,3025858
6091,3038130
6101,3079545
6111,2949003
6121,2946230
6131,3072176
6141,3076036
6151,3057093
6161,3081564
6171,3074995
6181,3075302
6191,3068609
6201,3081620
6211,3075725
6221,3078622
6231,3072697
6241,3079041
6251,3069713
6261,3078696
6271,3059767
6281,3078683
6291,3069406
6301,3072129
6311,3063295
6321,3074729
6331,3075714
6341,3050042
6351,3066651
6361,3072649
6371,3066339
6381,3075414
6391,3078683
6401,3075476
6411,3065854
6421,3076237
6431,3065693
6441,3078591
6451,3075632
6461,3084483
6471,3075425
6481,3074663
6491,3056568
6501,3075539
6511,3071835
6521,3082253
6531,3082246
6541,3079170
6551,3072353
6561,3085089
6571,3082216
6581,3088367
6591,3075490
6601,3081854
6611,3072041
6621,3081876
6631,3074237
6641,3087702
6651,3081754
6661,3088151
6671,3081601
6681,3088081
6691,3075789
6701,3081635
6711,3072577
6721,3069169
6731,3072066
6741,3069300
6751,3066100
6761,3075217
6771,3072636
6781,3075439
6791,3065963
6801,3072169
6811,3073007
6821,3081719
6831,3079256
6841,3087603
6851,3081549
6861,3087607
6871,3082068
6881,3081687
6891,3081927
6901,3087500
6911,3082129
6921,3081583
6931,3077173
6941,3075612
6951,3072535
6961,3088012
6971,3076844
6981,3075650
6991,3065798
7001,3081650
7011,3066518
7021,3061490
7031,3072339
7041,3088434
7051,3082047
7061,3062136
7071,3072398
7081,3079928
7091,3064352
7101,3075508
7111,3022461
7121,2904308
7131,2928980
7141,2943010
7151,3040845
7161,2893906
7171,3059537
7181,3061776
7191,3069412
7201,3053256
7211,3056986
7221,3081214
7231,3066009
7241,3065204
7251,3069480
7261,3081549
7271,3071468
7281,3076166
7291,3066687
7301,3078130
7311,3066027
7321,3069401
7331,3072255
7341,3084873
7351,3081641
7361,3087629
7371,3076115
7381,3087849
7391,3082251
7401,3081505
7411,3081115
7421,3087824
7431,3082263
7441,3088207
7451,3082197
7461,3088324
7471,3082179
7481,3081876
7491,3055973
7501,3081706
7512,3075455
7522,3088144
7532,3081893
7542,3087401
7552,3054966
7562,3075568
7572,3075526
7582,3088330
7592,3069251
7602,3081590
7612,3072462
7622,3088028
7632,3072321
7642,3081382
7652,3075609
7662,3078599
7672,3072398
7682,3075716
7692,3072984
7702,3084736
7712,3072840
7722,3088133
7732,3081839
7742,3087804
7752,3081437
7762,3088282
7772,3069125
7782,3081728
7792,3072220
7802,3075509
7812,3068889
7822,3078822
7832,3072279
7842,3084983
7852,3081403
7862,3087861
7872,3081668
7882,3087637
7892,3081739
7902,3088276
7912,3081523
7922,3087742
7932,3072065
7942,3081734
7952,3072249
7962,3084567
7972,3082122
7982,3078452
7992,3066005
8002,3081904
8012,3072117
8022,3087949
8032,3081626
8042,3088280
8052,3068786
8062,3071560
8072,3060367
8082,3075522
8092,3072509
8102,3087632
8112,3075080
8122,3084560
8132,3069468
8142,3049695
8152,3066582
8162,3075869
8172,2998339
8182,2996735
8192,3047372
8202,3066011
8212,3054119
8222,2954826
8232,3061031
8242,3081205
8252,3081784
8262,3088322
8272,3081798
8282,3087663
8292,3081522
8302,3084571
8312,3069566
