Time(ms),Frequency(kHz)
0,3084916
28,3073535
38,3079988
48,3074348
58,3073232
68,3066601
78,3065582
88,3071733
98,3079013
108,3074752
118,3085459
128,3083342
138,3084905
148,3084570
158,3074898
168,3084474
178,3073235
188,3078055
198,3066894
208,3080338
218,3072471
228,3081428
238,3072656
248,3084750
258,3082398
268,3088248
278,3082311
288,3087710
298,3066588
308,3081241
318,3078613
328,3088070
338,3073701
348,3087601
358,3072860
368,3085167
378,3074957
388,3085281
398,3079039
408,3085017
418,3075691
428,3085010
438,3078757
448,3084879
458,3075707
468,3084542
479,3082729
489,3088200
499,3081362
509,3087163
519,3081733
529,3088065
539,3082035
549,3088034
559,3077744
569,3084821
579,3081374
589,3088129
599,3075797
609,3088341
619,3082178
629,3088009
639,3082088
649,3088117
659,3068968
669,3081776
679,3073097
689,3087975
699,3081237
709,3087868
719,3082692
729,3088330
739,3082117
749,3087731
759,3081711
769,3078429
779,3075125
789,3087887
799,3082388
809,3087765
819,3081641
829,3087997
839,3082173
849,3067983
859,3056718
869,3088143
879,3082343
889,3084499
899,3081171
909,3088162
919,3082407
929,3080857
939,3069104
949,3081745
959,3078143
969,3083748
979,3080948
989,3087900
999,3082119
1009,3087706
1019,3055565
1029,3081834
1039,3072006
1049,3081823
1059,3079218
1069,3088280
1079,3080858
1089,3087505
1099,3082442
1109,3080522
1119,3074969
1129,3087935
1139,3081878
1149,3084996
1159,3075236
1169,3087976
1179,3072558
1189,3085045
1199,3081283
1209,3084296
1219,3078948
1229,3084672
1239,3074744
1249,3087839
1259,3082106
1269,3088019
1279,3082146
1289,3088309
1299,3081715
1309,3088148
1319,3081817
1329,3088220
1339,3060743
1349,3081912
1359,3075350
1369,3087527
1379,3065981
1389,3085122
1399,3075369
1409,3075824
1419,3066578
1429,3081406
1439,3079091
1449,3084390
1459,3074874
1469,3084993
1479,3079231
1489,3084473
1499,3075417
1509,3084465
1519,3078861
1529,3084166
1539,3078937
1549,3088152
1559,3082101
1569,3087401
1579,3074816
1589,3085158
1599,3078917
1609,3084263
1619,3081586
1629,3087526
1639,3075387
1649,3087832
1659,3082241
1669,3088027
1679,3081653
1689,3087502
1699,3081111
1709,3088057
1719,3081895
1729,3088281
1739,3081660
1749,3064730
1759,3078950
1769,3087992
1779,3081377
1789,3080795
1799,3072886
1809,3085053
1819,3081843
1829,3087441
1839,3081862
1849,3087650
1859,3081816
1869,3088006
1879,3082136
1889,3087747
1899,3074577
1909,3087938
1919,3081824
1929,3088037
1939,3081776
1949,3088455
1959,3082192
1969,3087802
1979,3081298
1989,3081765
1999,3072849
2009,3084930
2019,3078144
2029,3088033
2039,3082247
2049,3087862
2059,3081600
2069,3087747
2079,3082295
2089,3087535
2099,3081056
2109,3087465
2119,3082215
2129,3087979
2139,3081713
2149,3083548
2159,3081171
2169,3087837
2179,3081580
2189,3087974
2199,3077536
2209,3088176
2219,3082275
2229,3087600
2239,3081866
2249,3087722
2259,3081901
2269,3087499
2279,3082264
2289,3088265
2299,3081972
2309,3087709
2319,3082036
2329,3088239
2339,3071931
2349,3088345
2359,3082315
2369,3087865
2379,3081965
2389,3087606
2399,3072372
2409,3085100
