Time(us),Frequency(kHz)
1,3100023
28634,3085100
38649,3083485
48656,3064794
58666,3069466
68669,3069005
78675,3070080
88685,3078529
98564,3085430
108711,3084238
118712,3085207
128720,3067947
138728,3077912
148733,3076439
158740,3077184
168743,3077332
178748,3065916
188755,3077556
198757,3079962
208759,3082695
218766,3083912
228769,3086334
238773,3084028
248778,3085238
258784,3072267
268790,3071859
278792,3073050
288798,3081807
298805,3069762
308809,3063184
318566,3051697
328878,3062936
338879,3050746
348883,3068989
358876,3064037
368891,3077449
378896,3079240
388901,3087897
398904,3065496
408922,3081735
418931,3072461
428936,3066181
438941,3064201
448947,3075874
458952,3046640
468957,3076493
478961,3072445
488964,3075030
498970,3057032
508972,2916497
518979,2931435
528984,2965819
538987,3030295
548990,3081904
558992,3075340
568996,3082502
579001,3081366
589004,3073501
599008,3063347
609011,3081833
619015,3072414
629022,3084563
639026,3082052
649029,3087616
659036,3080939
669041,3073640
679046,3082205
689044,3072637
699059,3053981
709064,3070092
719068,3066030
729075,2935398
739081,3029971
749083,3081542
759086,3078878
769088,3087812
779094,3081462
789098,3087768
799100,3081542
809104,3087723
819106,3066557
829111,3081741
839115,3072497
849117,3088255
859119,3071786
869124,3081856
879128,3047169
889135,3072919
899140,3053561
909143,3072068
919147,3055970
929151,3071092
939154,3046921
949157,3075280
959162,3072413
969168,3085460
979175,3063750
989182,3081675
999183,3078425
1009189,3087612
1019193,3081622
1029200,3081378
1039203,3066037
1049209,3081432
1059213,3081858
1069218,3069291
1079219,3072150
1089225,3084869
1099230,3082259
1109235,3088337
1119240,3070194
1129244,3082008
1139250,3067886
1149252,3069327
1159258,3075956
1169263,3078671
1179265,3067640
1189271,3075578
1199273,3065348
1209278,3075552
1219284,3072256
1229290,3087466
1239296,3069545
1249300,3081289
1259303,3066222
1269307,3081521
1279309,3075490
1289311,3087964
1299317,3069444
1309319,3081759
1319327,3075832
1329329,3068857
1339335,3068583
1349340,3081706
1359345,3045727
1369351,3075470
1379354,3072008
1389360,3084954
1399365,3066456
1409369,3075866
1419370,3068680
1429373,3081592
1439376,3082258
1449377,3075081
1459379,3071660
1469384,3078507
1479390,3065583
1489393,3069470
1499396,3072578
1509402,3082045
1519407,3082080
1529408,3088335
1539415,3068058
1549420,3074882
1559424,3030190
1569429,3009918
1579434,2936027
1589440,3021805
1599444,3042674
1609446,2890771
1619453,3049738
1629457,3081070
1639461,3072532
1649466,3087819
1659467,3081423
1669472,3087644
1679476,3078742
