Time(us),Frequency(kHz)
0,3090940
28629,3085004
38638,3080321
48641,3080426
58646,3067042
68647,3056466
78554,3067071
88767,3075117
98771,3070350
108776,3076874
118780,3075603
128782,3078254
138786,3083153
148793,3072442
158801,3059368
168809,3070057
178811,3057153
188817,3066333
198823,3058909
208826,3064548
218829,3070400
228834,3079532
238851,3073206
248861,3074843
258866,3067371
268880,3075283
278882,3072985
288888,3077975
298892,3081183
308908,3087614
318911,3074359
328915,3070247
338917,3075046
348923,3088056
358928,3081947
368935,3087837
378950,3060275
388957,3075498
398962,3075773
408965,3078486
418970,3072632
428974,3075380
438981,3065730
448983,3081519
458987,3072606
468988,3088023
478989,3056804
488997,3035174
499001,3059871
509005,3075302
519012,3066551
529013,2985470
539019,2961133
549023,3070456
559026,3072065
569032,3081833
579037,3068871
589038,3075963
599039,3071973
609044,3088081
619047,3080085
629052,3077305
639054,3071629
649060,3075735
659064,3072534
669067,3074845
679068,3065734
689073,3082223
699079,3081705
709081,3068980
719083,3072220
729083,3084945
739089,3071913
749096,3080966
759101,3072249
769102,3078005
779107,3064059
789112,3081937
799114,3071288
809121,3081789
819124,3072256
829129,3081857
839133,3068720
849136,3081717
859140,3081579
869143,3087739
879145,3081938
889150,3087621
899153,3066537
909157,3069464
919160,3062927
929165,3064789
939172,3066425
949179,3069068
959185,3065533
969192,3078782
979199,3072678
989203,3075620
999206,3072093
1009208,3081541
1019216,3071164
1029222,3075764
1039228,3073059
1049235,3081264
1059240,3078115
1069247,3072785
1079251,3072329
1089255,3075461
1099261,3072416
1109264,3081167
1119271,3067644
1129277,3079307
1139283,3070012
1149287,3077804
1159289,3071830
1169295,3081461
1179299,3066658
1189305,3081654
1199312,3068154
1209314,3081062
1219321,3069784
1229324,3081422
1239331,3072425
1249335,3075228
1259340,3072564
1269343,3081743
1279346,3081396
1289348,3087572
1299350,3071433
1309356,3081267
1319362,3069333
1329363,3087771
1339368,3081966
1349369,3088040
1359371,3072538
1369375,3078430
1379382,3071809
1389385,3085254
1399388,3081768
1409391,3088185
1419394,3078109
1429401,3075593
1439405,3065480
1449408,3075860
1459413,3072824
1469416,3084611
1479420,3081953
1489422,3081429
1499426,3071452
1509430,2989581
1519436,2913658
1529443,2908626
1539445,2962492
1549451,3062580
1559452,3024736
1569454,2926572
1579457,3072577
1589463,3080948
1599470,3081325
1609476,3087590
1619479,3068810
1629481,3076441
1639483,3071912
1649489,3082005
1659495,3072291
1669501,3072213
1679504,3063191
1689509,3072597
1699511,3066034
1709514,3079043
1719520,3068634
1729522,3084742
1739527,3069138
1749530,3078936
1759535,3065709
1769540,3072988
1779541,3057389
1789543,3060337
1799548,3053591
1809552,3071920
1819553,3081546
1829562,3074529
1839572,3060149
1849581,3081898
1859585,3076362
1869587,3078795
1879596,3072598
1889602,3084667
1899611,3082538
1909615,3088157
1919624,3081754
1929632,3087995
1939636,3082117
1949638,3088322
1959644,3065136
1969650,3077860
1979651,3075050
1989657,3084424
1999664,3078725
2009669,3081053
2019673,3079131
2029674,3084203
2039679,3081791
2049684,3088093
2059687,3082460
2069694,3087545
2079696,3081439
2089701,3088082
2099705,3081861
2109708,3088365
2119714,3072069
2129719,3081065
2139724,3072529
2149730,3081130
2159736,3072158
2169739,3078313
2179745,3073291
2189752,3081698
2199755,3081631
2209758,3088037
2219759,3058472
2229765,3075494
2239769,3042646
2249774,3070914
2259776,3078566
2269781,3087848
2279786,3076032
2289791,3081228
2299795,3056442
2309797,3069319
2319804,3062894
2329810,3081216
2339811,3052905
2349817,3085003
2359819,3075197
2369824,3084567
2379830,3059040
2389831,3077847
2399832,3075456
2409839,3088164
2419844,3082136
2429851,3087996
2439856,3081789
2449862,3087638
2459867,3081993
2469872,3047229
2479878,3063000
2489884,3072111
2499887,3051755
2509889,3072129
2519893,3065496
2529898,3088333
2539899,3062904
2549905,3037230
2559911,2993791
2569917,3015729
2579919,2929958
2589925,2948174
2599929,3032080
2609931,3031924
2619937,2909757
2629943,3081533
2639945,3075905
2649948,3084295
2659954,3070297
2669956,3077029
2679958,3081520
2689965,3088172
2699968,3068632
2709973,3064013
2719980,3069302
2729984,3054650
2739987,3073003
2749988,3088429
2759994,3082168
2769996,3074702
2780002,3068233
2790008,3085027
2800009,3075475
2810014,3081912
2820018,3075011
2830020,3073221
2840026,3055990
2850032,3081482
2860034,3072925
2870041,3085069
2880050,3065477
2890054,3081553
2900060,3078193
2910055,3084811
2920072,3060123
2930074,3081358
2940076,3067099
2950078,3081178
2960080,3068900
2970085,3082121
2980090,3072360
2990091,3084380
3000097,3064176
3010100,3081356
3020102,3069335
3030109,3081260
3040116,3072554
3050119,3075344
3060122,3073113
3070125,3075443
3080128,3060205
3090134,3075991
3100138,3072848
3110144,3080717
3120149,3055647
3130153,3082164
3140156,3072165
3150157,3075520
3160160,3062898
3170164,3078555
3180171,3069737
3190173,3080800
3200175,3075455
3210178,3084113
3220185,3082066
3230187,3088063
3240191,3081602
3250193,3081679
3260195,3071828
3270202,3082105
3280206,3081473
3290207,3085093
3300214,3072140
3310218,3087560
3320223,3076939
3330228,3081647
3340234,3066702
3350236,3081799
3360243,3068413
3370249,3087725
3380255,3072241
3390259,3082031
3400265,3059428
3410267,3078799
3420271,3075753
3430272,3084640
3440274,3075913
3450276,3084718
3460282,3071641
3470286,3088318
3480291,3081496
3490293,3087882
3500298,3076460
3510300,3081804
3520305,3072360
3530308,3081568
3540311,3081163
3550313,3087945
3560320,3081226
3570326,3088027
3580327,3072350
3590329,3075551
3600335,3062223
3610340,2979573
3620345,2945933
3630348,2957592
3640352,3063227
3650355,3069786
3660357,3066117
3670361,2900097
3680367,2991560
3690372,3081699
3700379,3078614
3710382,3072666
3720385,3069580
3730386,3082139
3740391,3058175
3750394,3081043
3760400,3078609
3770405,3071371
3780412,3066357
3790418,3071979
3800420,3066584
3810428,3077981
3820433,3079203
3830434,3088169
3840437,3077975
3850441,3088312
3860446,3081872
3870451,3088047
3880456,3059835
3890463,3078829
3900466,3066384
3910468,3065226
3920471,3066326
3930475,3072668
3940481,3058930
3950487,3082144
3960493,3065558
3970496,3076011
3980498,3067461
3990502,3082034
4000504,3066509
4010505,3069634
4020512,3066525
4030519,3081858
4040525,3072773
4050526,3078225
4060531,3072616
4070532,3084602
4080537,3081528
4090539,3087847
4100545,3081871
4110553,3087946
4120560,3081798
4130558,3087749
4140582,3081702
4150555,3085024
4160715,3084369
4170718,3085045
4180722,3084809
4190724,3080131
4200729,3076557
4210731,3077688
4220739,3085842
4230746,3084094
4240748,3085326
4250751,3084269
4260759,3085991
4270760,3073023
4280761,3078058
4290764,3078051
4300770,3073149
4310771,3075554
4320778,3067107
4330779,3056490
4340786,3078532
4350851,3079112
4360855,3087421
4370857,3082546
4380860,3068741
4390863,3066652
4400877,3084856
4410893,3071272
4420898,3080667
4430888,3055771
