Time(us),Frequency(kHz)
1,1200009
28616,1200008
78788,1200009
88794,1200007
98799,1200008
128818,1200007
138826,1200008
168840,1200007
178846,1200009
188852,1200008
198856,1200007
208860,1200008
228878,1200007
238882,1200009
248884,1200007
258875,1200008
268893,1200007
278900,1200009
288902,1200008
428956,1200007
438960,1200008
448962,1200007
458966,1200008
468970,1200007
478972,1200008
619032,1200009
629037,1200008
649045,1200007
659052,1200009
669060,1200007
679066,1200008
709086,1200007
719093,1200008
729095,1200007
739097,1200008
749102,1200007
759110,1200008
769117,1200007
779119,1200009
789122,1200007
799130,1200009
809133,1200007
819136,1200008
829138,1200007
839140,1200009
849147,1200008
899169,1200009
909175,1200008
969205,1200007
979210,1200008
1019223,1200007
1029231,1200008
1049236,1200007
1059244,1200008
1109269,1200009
1119274,1200008
1129277,1200007
1139279,1200008
1229323,1200007
1239330,1200008
1249333,1200007
1259335,1200009
1269342,1200008
1299364,1200007
1309372,1200008
1369397,1200007
1379401,1200008
1389405,1200009
1399408,1200008
1419414,1200007
1429420,1200009
1439427,1200007
1449435,1200008
1459439,1200007
1469447,1200008
1509464,1200006
1519471,1200010
1529475,1200008
1569489,1200007
1579492,1200008
1589497,1200007
1599499,1200008
1649523,1200007
1659527,1200008
1689545,1200007
1699547,1200008
1749574,1200007
1759580,1200008
1769587,1200009
1779589,1200008
1789593,1200007
1799601,1200008
1859631,1200007
1869639,1200008
1909658,1200007
1919665,1200008
1929672,1200009
1939677,1200007
1959683,1200009
1969689,1200008
1999702,1200007
2009704,1200009
2019710,1200008
2029716,1200007
2039719,1200008
2049724,1200007
2059729,1200008
2069732,1200009
2079735,1200008
2089738,1200007
2099740,1200009
2109743,1200007
2119750,1200008
2139760,1200009
2149765,1200007
2159769,1200008
2179779,1200007
2189782,1200009
2199785,1200008
2249815,1200007
2259821,1200009
2269826,1200007
2279828,1200008
2339856,1200007
2349860,1200008
2389878,1200007
2399880,1200008
2409886,1200007
2419894,1200008
2509932,1200007
2519939,1200008
2569970,1200007
2579975,1200008
2640002,1200007
2650005,1200009
2660007,1200008
2690028,1200007
2700035,1200008
2740054,1200007
2750060,1200008
2770069,1200009
2780074,1200007
2790076,1200008
2850105,1200007
2860113,1200009
2870121,1200007
2880125,1200008
2970167,1200007
2990174,1200008
3010186,1200007
3020192,1200008
3060207,1200007
3080217,1200008
3090220,1200009
3100226,1200008
3130243,1200007
3140249,1200008
3170261,1200007
3180264,1200008
3230287,1200007
3240293,1200008
3250296,1200007
3260300,1200008
3280311,1200007
3290315,1200008
3300317,1200007
3310323,1200009
3320326,1200007
3330332,1200008
3410373,1200007
3420375,1200008
