Time(us),Frequency(kHz)
0,1200009
28580,1200007
38590,1200009
48594,1200006
58601,1200010
68604,1200006
78655,1200010
88667,1200006
98675,1200009
108679,1200005
118689,1200010
128695,1200007
138700,1200009
148706,1200007
158709,1200009
168717,1200007
178720,1200009
188721,1200006
198726,1200009
208733,1200006
218735,1200009
228737,1200007
238739,1200009
248742,1200007
258748,1200009
268751,1200007
278753,1200009
288761,1200007
298766,1200009
308771,1200006
318777,1200010
328780,1200006
338783,1200009
348790,1200005
358792,1200010
368798,1200007
378804,1200009
388808,1200005
398811,1200011
408813,1200006
418824,1200009
428829,1200007
438841,1200008
448844,1200007
458852,1200009
468857,1200007
478864,1200008
488871,1200006
498868,1200010
508886,1200006
518888,1200010
528893,1200006
538898,1200010
548905,1200007
558910,1200009
568914,1200006
578921,1200009
588923,1200006
598926,1200010
608928,1200005
618934,1200011
628941,1200006
638945,1200009
648953,1200005
658955,1200010
668959,1200007
678963,1200009
688970,1200007
698973,1200009
708979,1200006
718987,1200010
728994,1200005
738999,1200010
749006,1200005
759013,1200010
769018,1200007
779021,1200009
789023,1200007
799026,1200008
809029,1200007
819036,1200009
829044,1200006
839045,1200010
849050,1200006
859054,1200009
869061,1200008
879065,1200009
889068,1200007
899070,1200008
909088,1200007
919094,1200010
929100,1200006
939105,1200010
949111,1200006
959118,1200010
969125,1200006
979132,1200009
989137,1200008
999144,1200009
1009146,1200006
1019152,1200009
1029157,1200006
1039163,1200010
1049165,1200006
1059169,1200009
1069171,1200007
1079176,1200006
1089177,1200009
1109187,1200007
1129196,1200008
1139204,1200009
1149209,1200007
1159216,1200010
1169222,1200007
1179224,1200008
1199232,1200009
1209239,1200006
1219241,1200010
1229245,1200007
1239250,1200009
1249253,1200007
1259260,1200009
1269266,1200007
1279270,1200008
1299278,1200009
1309285,1200006
1319295,1200009
1329303,1200008
1349314,1200007
1359315,1200009
1369334,1200007
1379342,1200010
1389346,1200006
1399349,1200008
1439369,1200007
1459376,1200010
1469378,1200006
1479382,1200009
1489388,1200008
1509393,1200006
1519396,1200009
1529403,1200007
1539408,1200009
1549416,1200008
1579431,1200007
1599440,1200009
1609446,1200007
1619448,1200009
1629455,1200008
1649467,1200007
1659470,1200008
1689482,1200007
1709492,1200009
1719497,1200008
1759516,1200007
1769522,1200008
1779528,1200009
1789533,1200007
1799537,1200009
1809538,1200007
1819543,1200008
1849556,1200009
1859558,1200008
1869562,1200007
1889576,1200009
1899581,1200008
1929596,1200007
1939598,1200009
1949602,1200008
2009635,1200006
2019642,1200009
2029646,1200008
2039648,1200007
2049655,1200009
2059662,1200006
2069663,1200009
2079669,1200008
2109688,1200006
2119695,1200008
2129699,1200009
2139703,1200008
2159709,1200007
2169713,1200009
2179717,1200007
2189721,1200009
2199724,1200008
2229739,1200007
2239745,1200009
