Time(us),Frequency(kHz)
0,3091353
28593,3074534
38603,3082728
48607,3083258
58524,3085385
68670,3075243
78679,3077557
88683,3051824
98690,3073366
108694,3077204
118703,3075725
128708,3086001
138717,3076760
148723,3077958
158730,3062142
168734,2993879
178742,2887091
188747,3071590
198752,3035420
208755,2991979
218758,3075325
228761,3073163
238765,3074885
248772,3085407
258780,3079491
268784,3061807
278789,3071543
288790,3066645
298793,3074596
308794,3068575
318798,3065931
328804,3079571
338805,3057803
348812,3086818
358819,3082652
368823,3087338
378827,3082088
388841,3084722
398831,3073037
408847,3084706
418863,3078274
428864,3088240
438870,3081948
448874,3088439
458879,3072553
468894,3077653
478896,3071275
488904,3081436
498910,3072623
508911,3085245
518918,3069016
528921,3081749
538923,3059839
548927,3081949
558929,3078931
568935,3087785
578937,3072277
588942,3081973
598949,3072372
608950,3087486
618952,3082214
628955,3087887
638962,3082472
648965,3078264
658967,3072550
668971,3065765
678977,3034241
688984,3069411
698985,3066293
708988,3084531
718991,3056591
728992,3082173
738993,3052139
749001,3088154
759003,3081595
769010,3087584
779013,3081698
789017,3087887
799018,3078205
809019,3085282
819024,3078997
829027,3081428
839030,3058932
849031,3044442
859038,3069703
869040,3084974
879044,3063111
889049,3078574
899056,3053269
909058,3069315
919059,3065848
929061,3072873
939064,3066477
949071,3075671
959076,3043987
969077,3085040
979078,3082035
989080,3082010
999086,3066456
1009091,3081510
1019092,3076015
1029094,3087999
1039100,3082288
1049106,3087946
1059112,3082171
1069119,3078898
1079125,3072614
1089128,3084939
1099131,3056996
1109138,3081894
1119139,3081609
1129146,3088105
1139154,3082492
1149159,3087932
1159162,3072601
1169167,3084346
1179168,3058738
1189173,3072456
1199178,3066125
1209185,3069060
1219189,2995991
1229191,3001151
1239194,2912382
1249205,3065979
1259210,3022756
1269216,3005810
1279222,3050252
1289225,3075849
1299231,3066638
1309238,3069710
1319241,3072816
1329247,3059673
1339249,3082092
1349253,3075824
1359257,3066735
1369259,3075630
1379260,3071526
1389268,3075530
1399275,3066922
1409282,3081592
1419284,3082433
1429286,3088245
1439293,3065889
1449297,3081560
1459301,3082140
1469302,3088429
1479308,3082634
1489314,3087994
1499317,3081971
1509323,3075775
1519330,3052746
1529331,3075699
1539335,3057211
1549342,3082022
1559347,3038008
1569348,3063472
1579350,3063245
1589357,3075800
1599358,3063377
1609361,3075477
1619367,3043864
1629370,3081998
1639373,3069293
1649374,3078899
1659375,3069905
1669378,3075800
1679385,3045287
1689390,3081818
1699396,3082021
1709399,3088217
1719401,3071935
1729403,3075703
1739409,3072457
1749412,3081582
1759413,3068092
1769416,3088280
1779420,3082071
1789427,3088028
1799433,3055797
1809434,3087867
1819440,3077989
1829443,3054185
1839445,3060401
1849446,3079396
1859450,3051555
1869455,3085240
1879458,3078662
1889461,3084534
1899465,3077372
1909467,3088231
1919469,3066348
1929476,3076047
1939481,3071831
1949487,3056877
1959490,3075790
1969494,3088184
1979498,3072443
1989504,3081751
1999511,3075802
2009517,3063237
2019520,3066363
2029523,3088276
2039529,3072282
2049533,3081543
2059540,3075978
2069545,3088302
2079550,3030035
2089555,3081795
