Time(us),Frequency(kHz)
0,3100021
28628,3085326
38641,3083305
48650,3076878
58761,3060842
68769,3066946
78776,3072056
88783,3078951
98787,3075291
108796,3074017
118798,3077451
128802,3076558
138806,3071990
148809,3078849
158813,3080064
168817,3085710
178819,3051827
188826,3073879
198561,3073273
208864,3067485
218867,3078602
228883,3078258
238873,3066434
248889,3085235
258879,3076036
268892,3078269
278894,3060274
288897,3082094
298900,3051585
308915,3081589
318918,3082730
328921,3075083
338928,3071820
348932,3072541
358935,3072236
368938,3082037
378945,3082199
388952,3088002
398954,3082462
408957,3087853
418961,3070836
428966,3075601
438971,3069043
448977,3075693
458980,3039607
468987,3067674
478996,3057363
488999,3075437
499000,3075359
509003,3087534
519009,3075751
529016,3087913
539022,3072079
549028,3081308
559032,3047071
569039,3057458
579045,3054211
589049,3040559
599050,3065253
609053,2906589
619061,2956418
629080,3069765
639087,3071807
649093,3081624
659100,3078878
669105,3087597
679111,3057986
689117,3081832
699124,3071493
709127,3087922
719131,3074630
729133,3088436
739136,3076114
749143,3088237
759144,3081251
769149,3088447
779154,3069048
789158,3081742
799161,3075433
809163,3088238
819170,3066379
829176,3081659
839182,3078763
849185,3087598
859188,3068993
869192,3081455
879197,3078386
889199,3081455
899202,3062839
909205,3068085
919211,3062988
929213,3075599
939220,3067690
949228,3078556
959229,3052307
969234,3077636
979237,3072432
989243,3070516
999249,3072263
1009253,3084389
1019255,3082008
1029260,3087833
1039267,3078120
1049269,3085301
1059276,3081925
1069278,3087845
1079282,3081921
1089286,3088180
1099291,3081508
1109293,3087621
1119297,3076396
1129300,3077571
1139303,3066015
1149308,3078889
1159315,3069693
1169316,3074963
1179324,3062262
1189328,3079021
1199334,3044430
1209336,3078845
1219342,3069751
1229343,3084660
1239346,3082050
1249351,3087904
1259357,3081723
1269362,3087618
1279364,3082050
1289366,3087540
1299367,3081573
1309368,3081655
1319369,3072519
1329371,3077509
1339374,3072359
1349378,3075689
1359380,3066645
1369386,3082269
1379387,3075486
1389389,3087597
1399395,3081832
1409396,3081666
1419398,3071985
1429406,3081679
1439408,3081645
1449415,3087445
1459420,3058284
1469425,3075744
1479431,3062281
1489439,3078984
1499445,3060480
1509450,3069566
1519457,3066220
1529462,3078218
1539468,3068124
1549470,3075358
1559471,3072485
1569474,3084662
1579475,3082265
1589477,3081260
1599481,3072751
1609485,3088092
1619488,2993111
1629491,3010068
1639495,2906321
1649498,3020947
1659501,3072117
1669507,3085027
1679509,3082270
1689510,3087533
1699517,3081280
1709523,3087826
1719524,3081441
1729530,3088094
1739532,3069299
1749535,3087905
