Time(us),Frequency(kHz)
1,3087382
28638,3079365
38645,3073176
48648,3027989
58718,2949608
68725,3061092
78569,3068883
88859,3067067
98860,3076493
108864,3086623
118871,3082386
128878,3087501
138881,3082001
148883,3087033
158890,3082451
168894,3087751
178902,3082296
188909,3087569
198914,3076117
208920,3078041
218926,3072535
228930,3075222
238936,3065758
248939,3067447
258945,3065878
268947,3081395
278950,3076273
288953,3087629
298956,3066282
308957,3075642
318964,3065734
328970,3076199
338971,3070156
348973,3075985
358974,3072157
368976,3080947
378983,3078638
388987,3088269
398990,3081735
408997,3080724
419000,3069355
429003,3081517
439006,3072754
449009,3088093
459016,3082277
469021,3069360
479023,3072697
489030,3087582
499035,3072257
509040,3075811
519044,3072304
529047,3075435
539051,3066574
549052,3076709
559058,3074150
569064,3082465
579069,3072818
589073,3081857
599080,3066542
609083,3075677
619090,3072144
629093,3087853
639098,3071618
649099,3082046
659105,3072184
669110,3087633
679113,3082281
689115,3078766
699118,3066332
709120,3081550
719123,3080853
729126,3078578
739131,3072332
749138,2989877
759140,3025247
769142,3000115
779144,3050603
789150,3081514
799155,3075559
809159,3087696
819164,3064046
829170,3087743
839176,3081565
849182,3088207
859185,3057592
869192,3075607
879193,3057504
889198,3074793
899202,3052603
909205,3065880
919207,3066830
929212,3084764
939218,3065441
949221,3065947
959225,3054640
969226,2959156
979233,3042937
989238,3071629
999242,3066768
1009245,3081911
1019251,3075421
1029257,3088265
1039261,3081917
1049265,3088341
1059269,3081571
1069271,3088230
1079272,3082131
1089278,3087710
1099283,3065568
1109285,3081094
1119286,3078460
1129288,3081250
1139294,3081406
1149296,3087647
1159300,3082140
1169306,3087873
1179308,3066077
1189312,3081637
1199316,3069311
1209318,3081897
1219324,3053506
1229331,3081625
1239336,3072551
1249339,3085242
1259341,3075540
1269345,3075513
1279347,3072447
1289349,3084381
1299353,3081759
1309358,3074528
1319364,3071793
1329368,3081925
1339369,3072306
1349371,3081931
1359378,3075172
1369385,3087574
1379387,3082509
1389392,3088175
1399397,3081364
1409402,3088083
1419406,3082478
1429409,3081461
1439414,3081331
1449420,3087701
1459423,3082130
1469430,3081702
1479437,3073020
1489438,3081638
1499439,3078321
1509442,3087831
1519446,3071819
1529452,3066345
1539456,3066649
1549457,3076223
1559461,3075136
1569466,3082236
1579470,3072967
1589475,3062474
1599482,3063408
1609486,3081462
1619488,3073276
1629489,3078639
1639492,3079101
1649497,3075066
1659499,3073096
1669503,3075441
1679508,3050439
1689513,3014251
1699515,3051040
1709517,3066673
1719519,3063792
1729524,3075755
1739530,3066468
1749532,3082092
1759538,3072272
1769544,3008857
1779549,3071335
1789551,3081065
1799554,3037415
1809559,2913263
1819564,2932762
1829570,2972947
1839577,3059736
1849579,2988672
1859582,3071828
1869583,3063003
1879588,3072015
1889591,3081692
1899596,3078594
1909599,3078245
1919605,3072383
1929607,3081959
1939610,3071594
1949614,3081906
1959618,3072265
1969624,3081626
1979625,3072593
1989632,3081660
1999634,3069660
2009635,3073743
2019640,3065901
2029642,3075988
2039647,3059340
2049652,3076008
2059656,3067767
2069662,3081692
2079668,3072230
2089669,3075357
2099670,3051901
2109675,3079453
2119678,3062421
2129679,3074111
2139681,3068231
2149685,3081305
2159687,3078725
2169690,3088011
2179695,3082273
2189696,3075350
2199697,3072565
2209700,3077235
2219703,3066531
2229707,3069435
2239711,3065796
2249713,3081444
2259718,3054194
2269723,3066603
2279727,3046313
2289733,3075582
2299736,3057409
2309742,3082175
2319743,3071761
2329748,3076352
2339751,3071912
2349757,3076168
2359760,3053342
2369765,3075413
2379767,3059419
2389773,3076327
2399780,3057280
2409785,3074613
2419787,3069279
2429790,3088018
2439791,3081362
2449793,3075779
2459800,3071737
2469806,3076168
2479812,3081955
2489814,3087846
2499820,3081905
2509827,3068872
2519832,3066832
2529838,3075695
2539843,3069657
2549846,3070201
2559848,3072145
2569853,3081307
2579854,3075087
2589857,3081935
2599862,3060150
2609863,3078127
2619865,3066991
2629869,3069805
2639873,3066120
2649877,3065690
2659883,3075962
2669888,3087750
2679892,3081789
2689893,3088338
2699897,3068752
2709900,3081855
2719904,3059032
2729917,3081964
2739919,3071821
2749922,3081036
2759924,3066901
2769930,3081557
2779934,3075891
2789940,3087676
2799941,3078363
2809945,3088341
2819950,3072699
2829951,3075779
2839956,3000504
2849957,3081576
2859961,2947449
2869964,2949094
2879967,2978515
2889972,2961385
2899977,2986481
2909981,3058161
2919983,3072367
2929986,3080920
2939993,3079705
2949995,3087736
2959998,3078269
2970001,3085271
2980003,3081884
2990006,3078579
3000009,3072290
3010013,3080399
3020020,3072129
3030021,3075742
3040024,3072814
3050030,3087652
3060037,3075156
3070043,3088152
3080050,3082141
3090057,3084894
3100059,3070160
3110061,3082209
3120066,3065989
3130072,3075064
3140078,3072488
3150083,3085171
3160089,3072693
3170091,3081675
3180098,3072319
3190102,3078378
3200109,3072391
3210116,3084821
3220118,3081502
3230125,3087493
3240128,3068866
3250134,3072430
3260139,3056805
3270144,3077888
3280145,3072793
3290151,3087611
3300155,3081810
3310157,3087514
3320164,3068820
3330169,3076002
3340173,3072231
3350179,3085245
3360190,3081885
3370196,3087731
3380197,3068770
3390203,3081773
3400209,3072114
3410213,3081898
3420216,3072025
3430222,3075580
3440225,3064371
3450232,3081887
3460239,3079098
3470245,3061282
3480251,3072291
3490254,3081700
3500255,3081274
3510257,3088255
3520261,3081612
3530264,3088201
3540265,3081165
3550266,3073883
3560271,3072616
3570273,3080918
3580276,3078858
3590278,3068927
3600281,3065887
3610285,3081852
3620289,3058874
3630293,3078242
3640294,3062448
3650300,3084449
3660303,3082291
3670306,3081237
3680313,3082362
3690314,3087745
3700315,3074767
3710320,3088360
3720322,3072476
3730326,3081545
3740329,3075430
3750332,3088327
3760334,3081739
3770336,3088048
3780338,3081625
3790345,3087916
3800347,3081984
3810348,3074932
3820350,3072642
3830354,3078638
3840359,3072848
3850365,3075617
3860366,3063291
3870370,3080203
3880376,3054722
3890381,3048218
3900383,2973605
3910390,2944770
3920396,3016098
3930397,3075511
3940410,3060472
3950412,3061937
3960413,2953130
3970417,2977452
3980420,3072300
3990424,3084818
4000428,3082114
4010430,3088037
4020433,3081061
4030437,3088064
4040440,3072847
4050447,3075441
4060448,3072203
4070453,3081665
4080459,3060778
4090462,3077595
4100467,3072810
4110472,3081399
4120479,3069070
4130481,3081776
4140488,3066452
4150494,3081472
4160498,3074942
4170504,3087743
4180505,3081678
4190512,3075128
4200514,3066072
4210516,3081666
4220522,3073082
4230526,3084462
4240531,3064811
4250537,3062740
4260544,3057293
4270545,3075443
4280552,3056248
4290557,3072644
4300562,3069781
4310569,3078482
4320595,3065819
4330570,3058698
4340877,3063962
4350878,3072553
4360894,3081653
4370895,3065969
4380900,3075265
4390903,3066452
4400922,3082162
4410928,3070728
4420935,3082078
4430926,3071997
4440940,3075478
4450945,3071893
4460947,3069897
4470953,3059739
4480957,3081077
4490960,3072340
4500967,3074959
4510973,3072860
4520977,3062941
4530981,3075365
4540986,3088144
4550989,3077545
4560992,3087620
4570998,3081546
4581000,3087820
4591001,3081906
4601007,3088339
4611010,3082296
4621018,3087856
4631020,3073232
4641021,3081503
4651026,3075088
4661031,3088065
4671037,3082622
4681044,3087732
4691050,3074940
4701053,3088362
4711060,3066248
4721066,3084622
4731070,3081997
