Time(us),Frequency(kHz)
0,3100021
28610,3084284
38621,3063824
48630,3027921
58635,2989475
68641,2930756
78540,2918629
88695,3070822
98703,3008751
108705,3077112
118811,3079399
128823,3083145
138828,3068495
148835,3087435
158839,3082170
168845,3087318
178852,3076177
188858,3087214
198860,3068997
208879,3081847
218881,3078900
228883,3088460
238886,3054225
248888,3063105
258894,2992756
268909,3072573
278908,3054340
288928,3078044
298935,3075596
308937,3087798
318944,3081443
328952,3069155
338958,3058571
348962,3061451
358965,3066372
368971,3058208
378976,3068525
388981,3075447
398983,3051629
408986,3081583
418991,3066670
428993,3081666
438998,3069614
449004,3078680
459006,3072512
469008,3081202
479011,3082432
489015,3047072
499021,3062342
509027,3069410
519029,3063072
529030,3082274
539034,3072830
549041,3088306
559044,3081633
569046,3087695
579053,3082739
589055,3088282
599056,3078623
609057,3087409
619064,3082014
629068,3081642
639074,3081547
649080,3081750
659083,3082091
669086,3084001
679088,3072351
689090,3076027
699095,3067923
709099,3082094
719106,3075723
729113,3088277
739117,3069065
749122,3082001
759125,3065813
769127,3077689
779133,3065982
789137,3081488
799143,3042148
809144,3069011
819151,3072596
829153,3084624
839157,3082341
849162,3088295
859167,3077996
869169,3088322
879174,3064799
889179,3081743
899184,3066836
909186,3074639
919189,3072515
929191,3088344
939194,3081063
949197,3088046
959199,3082260
969204,3087919
979205,3072198
989207,3075695
999212,3072067
1009214,3087803
1019216,3081375
1029223,3087600
1039226,3081236
1049230,3082489
1059236,3064973
1069242,3081722
1079247,3068466
1089254,3081877
1099260,3082667
1109267,3078329
1119270,3071696
1129276,3064417
1139282,3013983
1149288,3032097
1159289,2999188
1169292,3069477
1179293,2997495
1189300,2936709
1199303,3072240
1209304,3081807
1219309,3072829
1229311,3075635
1239316,3072519
1249322,3081617
1259326,3079011
1269332,3083654
1279337,3062553
1289341,3079009
1299349,3065935
1309352,3085062
1319357,3081971
1329361,3088338
1339363,3081508
1349365,3077471
1359371,3052999
1369376,3072621
1379383,3066221
1389385,3081544
1399392,3075315
1409398,3088280
1419400,3082303
1429406,3087612
1439410,3081567
1449414,3071041
1459421,3057682
1469425,3069623
1479431,3056918
1489435,3069609
1499439,3057136
1509444,3085012
1519451,3062358
1529458,3081981
1539465,3075696
1549470,3088047
1559474,3080957
1569481,3087826
1579484,3069276
1589487,3081856
1599489,3069378
1609493,3075341
1619496,3066378
1629501,3072142
1639509,3072767
1649512,3082015
1659518,3081882
1669523,3087825
1679531,3072401
1689538,3077588
1699540,3042606
1709543,3085242
1719546,3082187
1729552,3068972
1739558,3072477
1749563,3084586
1759565,3072081
1769572,3078827
1779577,3069502
1789585,3082018
1799592,3066226
1809599,3082140
1819605,3075369
1829610,3088418
1839615,3081754
1849622,3078336
1859625,3072502
1869632,3084881
1879637,3069371
1889642,3059622
1899647,3066371
1909651,3081638
1919658,3078933
1929660,3081234
