Time(us),Frequency(kHz)
0,3078860
28600,3073732
38615,3079861
48623,3075164
58625,3063539
68631,3068963
78522,3075670
88733,3078071
98738,3084360
108745,3085284
118748,3083984
128752,3086005
138758,3083965
148759,3073521
158762,3069326
168769,3074939
178773,3074875
188777,3073145
198782,3074268
208787,3082063
218788,3083035
228793,3087390
238794,3082638
248795,3076889
258798,3069942
268804,3078189
278811,3073578
288813,3080591
298816,3067642
308824,3074939
318828,3067292
328836,3083912
338842,3081444
348859,3088402
358863,3081322
368880,3087304
378882,3082687
388884,3087759
398890,3081763
408894,3087831
418899,3081466
428906,3088319
438913,3081771
448915,3087969
458921,3082021
468931,3081561
478937,3069011
488944,3070883
498947,3065597
508951,3088300
518957,3082282
528965,3087827
538969,3081682
548972,3087862
558974,3081857
568982,3078321
578984,3072584
588986,3081625
598989,3081492
608995,3087728
619000,3075584
629002,3081803
639008,3075756
649012,3085017
659017,3056805
669018,3061819
679021,3059676
689023,3082087
699029,3060784
709032,3075492
719038,3072599
729042,3084750
739049,3068209
749051,3072281
759052,3047216
769061,3076766
779067,3075257
789073,3084869
799080,3078992
809081,3084512
819082,3001132
829088,2949064
839095,2929806
849100,3069337
859102,2993557
869104,3001043
879106,3065730
889111,3081650
899112,3069355
909118,3078326
919120,3052933
929125,3075618
939131,3068682
949134,3075943
959137,3063769
969143,3081850
979150,3063328
989155,3081746
999160,3071254
1009167,3088245
1019168,3063080
1029175,3081811
1039178,3057177
1049181,3081446
1059187,3072902
1069191,3081466
1079197,3075432
1089203,3082234
1099205,3072312
1109208,3075286
1119211,3065677
1129219,3075195
1139222,3072307
1149228,3081651
1159231,3075627
1169233,3088044
1179235,3081952
1189240,3088025
1199247,3055781
1209252,3081611
1219255,3062831
1229256,3075577
1239259,3066749
1249263,3075660
1259269,3063854
1269275,3078221
1279277,3069195
1289281,3075609
1299283,3072504
1309288,3075355
1319290,3060100
1329292,3075722
1339296,3072659
1349297,3088302
1359302,3081499
1369305,3077921
1379312,3072407
1389318,3084942
1399320,3072446
1409321,3081508
1419326,3079338
1429329,3072799
1439332,3072532
1449336,3087513
1459340,3081878
1469341,3078713
1479347,3066402
1489350,3059830
1499351,3062598
1509355,3072104
1519359,3063401
1529365,3068189
1539366,3065743
1549371,3087737
1559373,3082193
1569375,3088063
1579381,3081603
1589384,3069470
1599389,3072389
1609392,3075469
1619396,3069898
1629401,3081330
1639407,3071533
1649413,3078782
1659414,3069673
1669421,3075981
1679426,3060631
1689428,3066339
1699432,3070115
1709437,3078875
1719442,3075159
1729448,3085136
1739450,3061795
1749453,3075477
1759454,3066097
1769455,3081503
1779457,3078835
1789459,3087504
1799460,3081778
1809467,3075414
1819468,3049598
1829475,3078306
1839480,3066237
1849482,3081859
1859483,2944101
1869488,2891537
1879492,2912950
1889495,3032874
1899499,3060434
1909500,3026845
1919506,2905054
1929508,3081119
1939514,3078574
1949519,3088184
1959525,3078372
1969532,3076868
1979534,3069864
1989536,3078219
1999538,3075722
2009540,3084681
2019544,3078742
2029550,3084340
2039554,3069405
2049556,3079315
2059561,3062578
2069566,3075275
2079567,3075490
2089568,3088153
2099574,3075303
2109577,3075264
2119579,3072286
2129584,3087778
2139590,3082044
2149595,3087763
2159602,3074617
2169603,3084294
2179609,3079231
2189610,3069066
2199613,3068682
2209616,3084479
2219618,3081641
2229622,3087319
2239626,3081961
2249631,3088270
2259635,3081112
2269638,3075587
2279640,3072188
2289643,3084797
2299647,3068562
2309647,3077503
2319654,3070273
2329658,3082083
2339661,3074178
2349664,3074588
2359668,3075280
2369672,3088216
2379675,3081853
2389679,3085124
2399681,3072804
2409685,3088426
2419688,3072049
2429692,3075537
2439697,3075532
2449701,3087495
2459706,3081458
2469711,3087916
2479713,3071615
2489718,3071203
2499719,3075097
2509725,3081232
2519729,3081859
2529733,3087825
2539735,3081027
2549742,3087733
2559748,3070076
2569752,3075490
2579759,3071956
2589764,3085414
2599772,3082016
2609779,3088075
2619780,3082023
2629786,3087773
2639793,3068940
2649794,3081910
2659798,3081399
2669803,3088076
2679804,3063431
2689810,3081756
2699816,3056457
2709818,3065455
2719821,3043272
2729814,3078619
2739826,3066333
2749833,3076262
2759835,3072100
2769838,3081663
2779839,3066503
2789840,3075657
2799844,3062844
2809850,3081732
2819855,3072053
2829861,3082151
2839867,3072432
2849869,3072450
2859876,3069192
2869879,3081659
2879881,3066090
2889884,3069881
2899885,3049258
2909889,2921468
2919890,2900535
2929896,3016504
2939899,2994479
2949901,3072571
2959905,2941252
2969909,3029968
2979911,3074300
2989915,3087979
2999922,3082527
3009927,3082636
3019933,3050996
3029938,3082309
3039943,3075183
3049946,3087708
3059953,3081666
3069950,3075329
3079967,3061269
3089969,3081691
3099975,3075479
3109977,3083894
3119979,3075399
3129984,3088234
3139988,3081782
3149991,3084560
3159993,3081420
3169997,3088160
3180003,3059004
3190006,3072624
3200010,3056619
3210012,3069741
3220016,3061026
3230018,3075527
3240021,3066558
3250025,3081273
3260031,3071848
3270037,3084552
3280044,3068476
3290050,3074560
3300053,3071781
3310060,3075163
3320065,3075440
3330070,3087965
3340072,3081516
3350077,3087839
3360082,3069295
3370089,3077726
3380095,3078799
3390097,3087973
3400104,3081782
3410107,3073342
3420109,3071828
3430115,3084264
3440121,3082037
3450126,3087969
3460127,3081078
3470133,3087616
3480139,3072181
3490143,3071442
3500149,3072829
3510154,3075538
3520157,3072110
3530164,3068921
3540168,3075832
3550174,3088052
3560176,3067714
3570178,3081972
3580182,3071851
3590188,3087598
3600190,3072276
3610195,3072257
3620201,3062073
3630205,3062142
3640208,3072370
3650215,3088189
3660218,3081636
3670221,3087489
3680228,3081905
3690231,3087270
3700234,3082247
3710241,3087613
3720242,3081516
3730244,3081101
3740250,3081076
3750252,3078909
3760258,3066465
3770265,3082045
3780269,3066207
3790271,3081785
3800275,3075224
3810279,3078470
3820284,3057254
3830288,3081287
3840295,3081421
3850301,3087462
3860303,3081500
3870305,3081783
3880307,3082117
3890309,3078631
3900315,3072189
3910320,3081878
3920324,3079110
3930328,3088104
3940330,3065653
3950335,3075688
3960339,3050633
3970345,3075621
3980347,3004673
3990349,3080946
4000353,3065985
4010357,3078312
4020363,3070000
4030363,3084913
4040364,3074132
4050370,3088394
4060372,3081923
4070373,3087814
4080377,3081660
4090381,3079012
4100385,3081990
4110387,3087929
4120389,3081905
4130391,3087799
4140396,3076004
4150399,3077246
4160401,3044712
4170407,3003852
4180411,2984284
4190416,3081454
4200419,3059700
4210425,3072511
4220429,3069587
4230431,3072209
4240433,3065599
4250435,3077834
4260442,3081852
4270447,3081083
4280451,3072978
4290456,3069510
4300464,3065441
4310468,3075885
4320471,3075108
4330476,3081812
4340482,3075513
4350484,3081717
4360486,3065591
4370487,3081878
4380492,3068645
4390493,3062971
4400496,3062702
4410502,3082235
4420504,3064434
4430507,3081522
4440511,3078259
4450513,3079165
4460517,3071878
4470521,3082074
4480526,3066314
4490527,3074601
4500551,3081704
4510525,3085534
4520685,3084915
4530692,3067653
4540694,3085677
4550701,3078194
4560702,3085022
4570525,3072444
4580776,3053716
4590777,3066507
4600781,3071407
4610788,3073633
4620795,3086668
4630796,3082431
4640797,3086866
4650803,3070769
4660810,3067449
4670813,3069550
4680817,3080061
4690820,3067446
4700825,3080531
4710829,3070049
4720834,3080571
4730837,3072568
4740842,3087195
4750849,3075365
4760853,3087872
4770854,3082010
4780858,3087922
4790859,3062851
4800861,3076092
4810862,3075555
4820869,3088218
4830875,3082253
4840876,3087942
4850878,3082098
4860880,3087998
4870882,3081622
4880885,3087888
4890888,3082359
4900893,3088321
4910898,3081113
4920902,3078768
4930904,3071859
4940907,3068289
4950910,3060055
4960914,3075266
4970920,3060494
4980926,3081780
4990930,3069577
5000934,3081061
5010941,2935165
5020943,2908793
5030950,2932206
5040952,2922952
5050955,3063841
5060959,2918876
5070965,2960907
5080970,3075983
5090978,3075023
5100985,3088290
5110992,3074717
5120994,3081503
5130996,3079467
5141002,3087724
5151008,3082017
5161012,3071977
5171015,3069181
5181020,3077702
5191010,3060847
5201028,3075049
5211035,3069427
5221036,3075205
5231042,3071652
5241046,3081740
5251054,3062547
5261056,3081251
5271060,3065010
5281064,3080899
5291069,3082633
5301075,3087809
5311079,3076393
5321085,3086222
5331089,3067939
5341090,3081564
5351097,3072338
5361098,3074975
5371100,3059259
5381101,3081983
5391105,3072171
5401109,3081952
5411113,3072062
5421116,3081671
5431120,3054417
5441126,3085043
5451129,3081891
5461133,3087854
5471140,3071893
5481147,3079146
5491154,3055609
5501161,3075746
5511168,3069156
5521171,3072656
5531177,3052804
5541183,3078822
5551185,3066549
5561189,3075628
5571192,3066414
5581197,3081394
5591199,3078838
5601200,3088265
5611202,3081420
5621206,3087418
5631212,3081567
5641216,3087779
5651220,3081698
5661223,3088334
5671230,3082209
5681234,3087430
5691239,3081222
5701242,3087910
5711243,3072149
5721245,3082028
5731251,3075728
5741253,3087300
5751256,3081836
5761260,3087860
5771263,3075067
5781267,3075133
5791270,3065159
5801276,3081524
5811282,3071651
5821288,3081757
5831292,3060549
5841296,3075958
5851304,3071691
5861307,3082038
5871313,3081164
5881314,3087653
5891317,3081568
5901322,3088264
5911329,3063258
5921332,3081864
5931335,3072432
5941341,3075800
5951345,3063458
5961348,3070097
5971350,3059364
5981355,3081672
5991361,3066166
6001368,3074991
6011374,3072679
6021377,3087708
6031378,3081511
6041383,3078334
6051385,3065523
6061391,3078170
6071395,3015255
6081402,3025858
6091408,3038130
6101415,3079545
6111418,2949003
6121423,2946230
6131425,3072176
6141430,3076036
6151432,3057093
6161433,3081564
6171437,3074995
6181439,3075302
6191446,3068609
6201449,3081620
6211451,3075725
6221456,3078622
6231462,3072697
6241469,3079041
6251475,3069713
6261479,3078696
6271483,3059767
6281489,3078683
6291495,3069406
6301499,3072129
6311501,3063295
6321507,3074729
6331509,3075714
6341512,3050042
6351516,3066651
6361517,3072649
6371521,3066339
6381527,3075414
6391533,3078683
6401535,3075476
6411542,3065854
6421546,3076237
6431553,3065693
6441555,3078591
6451556,3075632
6461558,3084483
6471562,3075425
6481567,3074663
6491573,3056568
6501580,3075539
6511586,3071835
6521593,3082253
6531595,3082246
6541601,3079170
6551605,3072353
6561606,3085089
6571609,3082216
6581614,3088367
6591621,3075490
6601620,3081854
6611637,3072041
6621642,3081876
6631647,3074237
6641654,3087702
6651658,3081754
6661664,3088151
6671665,3081601
6681672,3088081
6691676,3075789
6701677,3081635
6711683,3072577
6721689,3069169
6731696,3072066
6741703,3069300
6751707,3066100
6761709,3075217
6771714,3072636
6781717,3075439
6791720,3065963
6801721,3072169
6811726,3073007
6821728,3081719
6831729,3079256
6841736,3087603
6851742,3081549
6861746,3087607
6871748,3082068
6881755,3081687
6891758,3081927
6901762,3087500
6911767,3082129
6921770,3081583
6931772,3077173
6941774,3075612
6951775,3072535
6961777,3088012
6971784,3076844
6981787,3075650
6991794,3065798
7001801,3081650
7011806,3066518
7021809,3061490
7031811,3072339
7041814,3088434
7051818,3082047
7061819,3062136
7071826,3072398
7081832,3079928
7091837,3064352
7101843,3075508
7111848,3022461
7121854,2904308
7131857,2928980
7141860,2943010
7151867,3040845
7161869,2893906
7171875,3059537
7181881,3061776
7191883,3069412
7201884,3053256
7211885,3056986
7221891,3081214
7231896,3066009
7241897,3065204
7251900,3069480
7261905,3081549
7271907,3071468
7281908,3076166
7291909,3066687
7301915,3078130
7311918,3066027
7321920,3069401
7331923,3072255
7341924,3084873
7351926,3081641
7361933,3087629
7371939,3076115
7381945,3087849
7391951,3082251
7401954,3081505
7411958,3081115
7421963,3087824
7431967,3082263
7441973,3088207
7451977,3082197
7461983,3088324
7471985,3082179
7481987,3081876
7491991,3055973
7501996,3081706
7512001,3075455
7522004,3088144
7532006,3081893
7542007,3087401
7552009,3054966
7562014,3075568
7572021,3075526
7582022,3088330
7592029,3069251
7602033,3081590
7612037,3072462
7622041,3088028
7632045,3072321
7642050,3081382
7652055,3075609
7662062,3078599
7672067,3072398
7682074,3075716
7692075,3072984
7702077,3084736
7712082,3072840
7722085,3088133
7732087,3081839
7742091,3087804
7752093,3081437
7762095,3088282
7772100,3069125
7782106,3081728
7792112,3072220
7802118,3075509
7812120,3068889
7822123,3078822
7832128,3072279
7842133,3084983
7852137,3081403
7862139,3087861
7872143,3081668
7882144,3087637
7892147,3081739
7902149,3088276
7912152,3081523
7922156,3087742
7932161,3072065
7942166,3081734
7952170,3072249
7962171,3084567
7972173,3082122
7982174,3078452
7992177,3066005
8002182,3081904
8012189,3072117
8022195,3087949
8032202,3081626
8042204,3088280
8052210,3068786
8062214,3071560
8072216,3060367
8082223,3075522
8092228,3072509
8102234,3087632
8112237,3075080
8122242,3084560
8132243,3069468
8142245,3049695
8152247,3066582
8162251,3075869
8172253,2998339
8182257,2996735
8192262,3047372
8202267,3066011
8212269,3054119
8222272,2954826
8232277,3061031
8242278,3081205
8252284,3081784
8262288,3088322
8272292,3081798
8282292,3087663
8292294,3081522
8302295,3084571
8312299,3069566
8322300,3084795
8332306,3057192
8342313,3078454
8352318,3069986
8362322,3084840
8372323,3079006
8382324,3084834
8392332,3075384
8402337,3078935
8412343,3062911
8422346,3071619
8432353,3072471
8442357,3084801
8452363,3068664
8462366,3069546
8472368,3072712
8482372,3081655
8492379,3068074
8502386,3087825
8512389,3082067
8522390,3082051
8532395,3072224
8542399,3081611
8552400,3072587
8562405,3084274
8572411,3082080
8582414,3087971
8592416,3082553
8602422,3087467
8612428,3081243
8622430,3087838
8632432,3069522
8642439,3075574
8652445,3061409
