Time(us),Frequency(kHz)
0,3084916
28602,3073535
38615,3079988
48624,3074348
58631,3073232
68633,3066601
78643,3065582
88649,3071733
98649,3079013
108661,3074752
118668,3085459
128676,3083342
138539,3084905
148692,3084570
158696,3074898
168698,3084474
178840,3073235
188847,3078055
198853,3066894
208857,3080338
218860,3072471
228876,3081428
238877,3072656
248896,3084750
258900,3082398
268907,3088248
278908,3082311
288915,3087710
298916,3066588
308922,3081241
318927,3078613
328930,3088070
338935,3073701
348937,3087601
358944,3072860
368951,3085167
378953,3074957
388958,3085281
398964,3079039
408967,3085017
418973,3075691
428975,3085010
438982,3078757
448988,3084879
458995,3075707
468999,3084542
479006,3082729
489012,3088200
499019,3081362
509023,3087163
519029,3081733
529036,3088065
539040,3082035
549041,3088034
559049,3077744
569052,3084821
579054,3081374
589058,3088129
599060,3075797
609065,3088341
619070,3082178
629071,3088009
639078,3082088
649082,3088117
659087,3068968
669094,3081776
679100,3073097
689105,3087975
699110,3081237
709113,3087868
719115,3082692
729122,3088330
739125,3082117
749130,3087731
759136,3081711
769137,3078429
779139,3075125
789142,3087887
799143,3082388
809149,3087765
819153,3081641
829157,3087997
839161,3082173
849168,3067983
859171,3056718
869174,3088143
879176,3082343
889182,3084499
899188,3081171
909189,3088162
919195,3082407
929199,3080857
939204,3069104
949211,3081745
959217,3078143
969222,3083748
979224,3080948
989228,3087900
999231,3082119
1009237,3087706
1019240,3055565
1029243,3081834
1039250,3072006
1049253,3081823
1059259,3079218
1069262,3088280
1079263,3080858
1089269,3087505
1099273,3082442
1109274,3080522
1119279,3074969
1129282,3087935
1139288,3081878
1149292,3084996
1159295,3075236
1169301,3087976
1179306,3072558
1189308,3085045
1199312,3081283
1209318,3084296
1219322,3078948
1229324,3084672
1239325,3074744
1249332,3087839
1259339,3082106
1269345,3088019
1279347,3082146
1289352,3088309
1299358,3081715
1309365,3088148
1319366,3081817
1329372,3088220
1339378,3060743
1349385,3081912
1359391,3075350
1369393,3087527
1379400,3065981
1389407,3085122
1399408,3075369
1409409,3075824
1419411,3066578
1429415,3081406
1439419,3079091
1449421,3084390
1459424,3074874
1469425,3084993
1479430,3079231
1489436,3084473
1499442,3075417
1509447,3084465
1519448,3078861
1529452,3084166
1539455,3078937
1549458,3088152
1559461,3082101
1569464,3087401
1579469,3074816
1589470,3085158
1599473,3078917
1609479,3084263
1619482,3081586
1629489,3087526
1639491,3075387
1649492,3087832
1659493,3082241
1669500,3088027
1679507,3081653
1689511,3087502
1699521,3081111
1709524,3088057
1719528,3081895
1729530,3088281
1739533,3081660
1749534,3064730
1759537,3078950
1769538,3087992
1779542,3081377
1789547,3080795
1799553,3072886
1809557,3085053
1819560,3081843
1829563,3087441
1839569,3081862
1849572,3087650
1859576,3081816
1869580,3088006
1879587,3082136
1889593,3087747
1899595,3074577
1909596,3087938
1919598,3081824
1929600,3088037
1939605,3081776
1949610,3088455
1959614,3082192
1969617,3087802
1979623,3081298
1989625,3081765
1999631,3072849
2009638,3084930
2019645,3078144
2029647,3088033
2039650,3082247
2049657,3087862
2059658,3081600
2069665,3087747
2079672,3082295
2089677,3087535
2099680,3081056
2109684,3087465
2119687,3082215
2129691,3087979
2139697,3081713
2149701,3083548
2159706,3081171
2169712,3087837
2179713,3081580
2189718,3087974
2199724,3077536
2209728,3088176
2219734,3082275
2229737,3087600
2239740,3081866
2249742,3087722
2259746,3081901
2269751,3087499
2279753,3082264
2289755,3088265
2299761,3081972
2309767,3087709
2319779,3082036
2329784,3088239
2339785,3071931
2349790,3088345
2359795,3082315
2369800,3087865
2379805,3081965
2389809,3087606
2399810,3072372
2409814,3085100
2419821,3075425
2429823,3084582
2439824,3078910
2449831,3084833
2459838,3078366
2469840,3087758
2479846,3081733
2489853,3087935
2499860,3081712
2509863,3087854
2519865,3082235
2529867,3087984
2539874,3081200
2549878,3087999
2559885,3081666
2569891,3087630
2579894,3081001
2589898,3087726
2599901,3078083
2609904,3087821
2619908,3081546
2629911,3087927
2639918,3082331
2649922,3084707
2659930,3043757
2669934,3081876
2679937,3081656
2689942,3087946
2699944,3081711
2709945,3087794
2719946,3082101
2729952,3087714
2739957,3081630
2749961,3084495
2759965,3075676
2769970,3087939
2779971,3075808
2789973,3081688
2799976,3072758
2809981,3077909
2819982,3072224
2829984,3082087
2839989,3075362
2849996,3088086
2859998,3082150
2870003,3081422
2880005,3052663
2890009,3081830
2900012,3069526
2910015,3078161
2920020,3082366
2930025,3088358
2940029,3082558
2950034,3087921
2960036,3081385
2970038,3088325
2980039,3082235
2990042,3088043
3000048,3082211
3010053,3081502
3020055,3082637
3030061,3087379
3040066,3063021
3050068,3087589
3060070,3082031
3070072,3087941
3080078,3081770
3090085,3088243
3100089,3081456
3110091,3088170
3120095,3081421
3130097,3080719
3140101,3082288
3150105,3082105
3160111,3081581
3170116,3088420
3180118,3082195
3190123,3087867
3200129,3081527
3210136,3088016
3220139,3075418
3230144,3088020
3240147,3081784
3250151,3087838
3260156,3075763
3270160,3084829
3280164,3075824
3290165,3084704
3300172,3082014
3310177,3081700
3320178,3071879
3330180,3084346
3340184,3062331
3350187,3084159
3360189,3077933
3370196,3071541
3380198,3070182
3390201,3088283
3400202,3081528
3410205,3087740
3420211,3075691
3430218,3087665
3440221,3081753
3450223,3088366
3460229,3082587
3470231,3088033
3480235,3081911
3490237,3087852
3500238,3082117
3510241,3088219
3520242,3081321
3530246,3088002
3540249,3082015
3550255,3087874
3560261,3064069
3570267,3087841
3580270,3078868
3590272,3085049
3600273,3075531
3610276,3085020
3620279,3072255
3630286,3084467
3640289,3074823
3650296,3088286
3660303,3081686
3670308,3088286
3680312,3082039
3690316,3087886
3700318,3082073
3710325,3088035
3720328,3082277
3730330,3087933
3740333,3082196
3750338,3087769
3760341,3082296
3770345,3084542
3780349,3079156
3790351,3084907
3800356,3078629
3810363,3088376
3820366,3082015
3830373,3081366
3840378,3082027
3850385,3088295
3860390,3081788
3870396,3088313
3880397,3081875
3890404,3087381
3900412,3081976
3910413,3087848
3920418,3082279
3930422,3087610
3940425,3081954
3950429,3088344
3960431,3082208
3970434,3088051
3980438,3082146
3990443,3088035
4000445,3075722
4010451,3084221
4020455,3081968
4030456,3081570
4040460,3081698
4050466,3087831
4060472,3082642
4070478,3088046
4080481,3081977
4090488,3087779
4100490,3082326
4110491,3081789
4120498,3081098
4130501,3087819
4140507,3082068
4150509,3081852
4160515,3070651
4170519,3087585
4180524,3082314
4190525,3087487
4200529,3081394
4210531,3087653
4220533,3082254
4230540,3087643
4240548,3069061
4250698,3081941
4260708,3081648
4270713,3080434
4280718,3079747
4290541,3082833
4300833,3087926
4310834,3081967
4320836,3087501
4330842,3082436
4340858,3077536
4350864,3081766
4360871,3087906
4370878,3081937
4380883,3088354
4390888,3082359
4400891,3088011
4410896,3082088
4420900,3087684
4430902,3081183
4440907,3080929
4450911,3076417
4460918,3064492
4470920,3081177
4480925,3087824
4490931,3082216
4500935,3087909
4510936,3081617
4520937,3087718
4530943,3081922
4540947,3088402
4550949,3081403
4560954,3087775
4570957,3082465
4580961,3087904
4590965,3081238
4600969,3084602
4610971,3079246
4620977,3084177
4630980,3081641
4640980,3081513
4650983,3076120
4660985,3084860
4670992,3075059
4680998,3084605
4691003,3078743
4701006,3084580
4711013,3075494
4721016,3084701
4731023,3079134
4741027,3084559
4751031,3074888
4761035,3084977
4771042,3078676
4781048,3088021
4791050,3078279
4801055,3085406
4811061,3079121
4821068,3085243
4831074,3075321
4841080,3085011
4851086,3074788
4861090,3061577
4871096,3082326
4881101,3088144
4891104,3082213
4901106,3087535
4911110,3081818
4921113,3084704
4931117,3081787
4941120,3087846
4951125,3081830
4961130,3088387
4971136,3082136
4981139,3087989
4991145,3081682
5001147,3088340
5011150,3081945
5021156,3065001
5031157,3079790
5041162,3087905
5051164,3077497
5061171,3087935
5071174,3082569
5081178,3088467
